Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E3,10/01/2023,19:45,Bradford,Rochdale,1,2,A,1,0,H,P Howard,12,12,3,6,11,14,5,4,1,3,0,0,1.8,3.75,4.33,1.83,3.4,4.2,1.83,3.4,4.2,1.81,3.72,4.64,1.83,3.4,4.33,1.75,3.6,4,1.89,3.75,4.7,1.81,3.58,4.31,2.02,1.83,2.03,1.85,2.04,1.87,1.98,1.8,-0.5,1.77,2.02,1.81,2.08,1.83,2.1,1.79,2.01,1.75,3.75,4.5,1.82,3.4,4.33,1.8,3.35,4.2,1.8,3.67,4.79,1.8,3.4,4.5,1.73,3.6,4.1,1.84,3.75,5.3,1.78,3.56,4.47,2.02,1.83,2.07,1.82,2.08,1.85,1.99,1.79,-0.75,2.02,1.83,2.07,1.83,2.09,1.87,2.02,1.8
EC,10/01/2023,19:30,Wrexham,Bromley,2,1,H,1,1,D,L Smith,,,,,,,,,2,3,0,0,1.33,5,8.5,1.29,4.75,8.25,1.33,4.9,7.75,1.3,5.71,9.6,1.29,4.75,9,1.29,4.6,8,1.33,5.71,9.6,1.3,5.14,8.45,1.57,2.35,1.57,2.43,1.57,2.45,1.54,2.35,-1.5,1.93,1.88,1.88,1.96,1.97,1.99,1.89,1.89,1.25,5.5,10,1.24,5.25,9,1.25,5.75,9,1.26,6.03,10.45,1.22,5.25,11,1.22,5.25,9.5,1.26,6.2,11,1.24,5.7,9.7,1.53,2.4,1.54,2.49,1.54,2.67,1.48,2.5,-1.75,1.98,1.83,2.02,1.82,2.02,1.88,1.94,1.83
EC,10/01/2023,19:45,Aldershot,Dag and Red,0,2,A,0,1,A,L Wood,,,,,,,,,1,0,0,0,2.63,3.4,2.55,2.45,3.3,2.4,2.5,3.25,2.5,2.64,3.63,2.57,2.55,3.2,2.5,2.45,3.3,2.45,2.64,3.67,2.6,2.55,3.43,2.5,1.73,2.08,1.75,2.1,1.76,2.15,1.71,2.06,0,1.93,1.88,1.95,1.9,1.95,1.91,1.9,1.87,2.63,3.4,2.55,2.45,3.3,2.4,2.5,3.25,2.5,2.65,3.71,2.52,2.55,3.25,2.5,2.45,3.3,2.4,2.65,3.71,2.6,2.55,3.45,2.49,1.7,2.1,1.7,2.17,1.73,2.25,1.67,2.12,0,1.95,1.85,1.98,1.88,2,1.91,1.92,1.86
EC,10/01/2023,19:45,Notts County,Boreham Wood,1,1,D,0,1,A,P Marsden,,,,,,,,,1,3,0,0,1.36,4.75,9,1.31,4.75,7.5,1.33,4.7,7.5,1.36,5.08,8.55,1.32,4.4,8.5,1.3,4.5,8,1.36,5.1,9,1.33,4.86,8.07,1.6,2.3,1.71,2.15,1.71,2.3,1.65,2.17,-1.5,2,1.8,2.07,1.79,2.07,1.85,2,1.79,1.33,4.75,10,1.31,4.75,7.75,1.33,4.7,8,1.33,5.19,9.17,1.29,4.5,10,1.29,4.5,8.5,1.34,5.3,10,1.31,4.89,8.6,1.73,2.08,1.72,2.14,1.74,2.23,1.69,2.1,-1.5,2,1.8,2.02,1.84,2.04,1.9,1.97,1.82
F1,11/01/2023,18:00,Ajaccio,Reims,0,1,A,0,1,A,,11,9,1,3,20,22,2,2,3,3,0,0,3.1,3.1,2.5,2.95,3.1,2.5,3.05,3.15,2.5,3.18,3.24,2.51,3,3.1,2.45,3.13,3.1,2.4,3.19,3.34,2.55,3.07,3.19,2.46,2.3,1.62,2.37,1.65,2.39,1.7,2.29,1.64,0.25,1.81,2.09,1.81,2.13,1.84,2.13,1.8,2.07,3.3,3,2.38,3.25,3,2.37,3.3,3.1,2.35,3.42,3.16,2.42,3.2,3.1,2.35,3.3,3.1,2.3,3.6,3.23,2.45,3.32,3.1,2.37,2.5,1.53,2.42,1.63,2.54,1.64,2.4,1.58,0.25,1.87,2.06,1.88,2.05,1.89,2.07,1.85,2.02
F1,11/01/2023,18:00,Auxerre,Toulouse,0,5,A,0,3,A,,19,9,4,7,22,13,7,4,3,1,0,0,2.75,3.3,2.6,2.65,3.4,2.6,2.75,3.35,2.55,2.83,3.41,2.66,2.7,3.4,2.55,2.7,3.4,2.55,2.83,3.62,2.78,2.73,3.4,2.6,1.9,2,1.9,2.01,1.94,2.02,1.87,1.95,0,2,1.9,2.02,1.9,2.02,1.93,1.98,1.88,3,3.3,2.4,2.9,3.3,2.4,2.95,3.35,2.45,3.07,3.39,2.49,3,3.25,2.4,2.9,3.4,2.4,3.26,3.5,2.5,2.98,3.35,2.43,1.94,1.96,1.93,1.97,2,1.99,1.9,1.92,0.25,1.82,2.11,1.81,2.13,1.82,2.14,1.78,2.1
F1,11/01/2023,18:00,Brest,Lille,0,0,D,0,0,D,,5,11,0,4,15,12,0,8,0,1,0,0,4,3.6,1.91,3.75,3.5,1.98,3.8,3.6,1.95,4.05,3.7,1.98,3.8,3.6,1.91,3.9,3.5,1.93,4.1,3.84,2,3.85,3.65,1.95,1.87,2.03,1.89,2.01,1.91,2.05,1.84,1.99,0.5,1.93,1.97,1.94,1.98,1.95,1.99,1.91,1.95,4.2,3.75,1.83,4.33,3.6,1.83,4.3,3.7,1.83,4.54,3.76,1.86,4.2,3.6,1.83,4.4,3.6,1.8,4.6,3.9,1.9,4.33,3.68,1.84,1.96,1.94,1.93,1.97,2,2.03,1.91,1.91,0.5,2.06,1.87,2.08,1.86,2.08,1.9,2.02,1.84
F1,11/01/2023,18:00,Clermont,Rennes,2,1,H,1,0,H,,11,9,5,2,12,13,4,1,0,2,0,2,4.2,3.5,1.91,4,3.6,1.9,3.85,3.55,1.95,4.1,3.66,1.97,3.8,3.6,1.91,3.9,3.5,1.93,4.2,3.86,1.98,3.92,3.63,1.94,1.94,1.96,1.93,1.98,1.95,2.02,1.89,1.94,0.5,1.94,1.96,1.95,1.97,1.95,1.99,1.91,1.95,4.2,3.4,1.91,4.1,3.4,1.93,4.1,3.4,1.95,4.36,3.5,1.97,4.2,3.4,1.91,4.2,3.4,1.9,4.38,3.54,2.02,4.12,3.43,1.96,2.1,1.73,2.1,1.81,2.17,1.84,2.09,1.76,0.5,1.95,1.98,1.95,1.97,1.98,2,1.9,1.96
F1,11/01/2023,18:00,Nantes,Lyon,0,0,D,0,0,D,,13,10,5,6,12,15,6,1,2,3,0,0,3.3,3.4,2.2,3.3,3.4,2.15,3.3,3.35,2.25,3.39,3.43,2.29,3.25,3.25,2.25,3.2,3.4,2.2,3.53,3.5,2.37,3.31,3.37,2.24,1.88,2.02,1.88,2.02,1.92,2.05,1.86,1.96,0.25,1.94,1.96,1.95,1.97,1.97,1.98,1.92,1.93,3.6,3.6,2,3.6,3.6,2,3.55,3.6,2.05,3.77,3.6,2.08,3.7,3.4,2,3.5,3.6,2,3.92,3.8,2.1,3.64,3.58,2.04,1.73,2.1,1.79,2.13,1.79,2.23,1.72,2.14,0.5,1.85,2.08,1.85,2.08,1.88,2.1,1.83,2.05
F1,11/01/2023,20:00,Lorient,Monaco,2,2,D,0,0,D,,8,16,6,4,8,13,3,4,1,1,0,0,3.8,3.75,1.91,3.75,3.7,1.9,3.75,3.75,1.95,3.96,3.9,1.94,3.8,3.7,1.91,3.9,3.7,1.87,4.05,3.98,1.99,3.82,3.82,1.93,1.73,2.1,1.74,2.21,1.77,2.29,1.71,2.16,0.5,1.98,1.92,1.98,1.94,1.99,1.95,1.95,1.92,4.5,3.8,1.75,4.33,3.9,1.75,4.3,3.95,1.77,4.47,3.95,1.83,4.4,3.8,1.75,4.33,3.9,1.75,4.65,4.15,1.84,4.35,3.94,1.78,1.67,2.2,1.7,2.26,1.71,2.39,1.65,2.26,0.75,1.89,2.04,1.87,2.06,1.89,2.06,1.86,2
