DateTime,League,GameDay,Home,Away,FullTimeHomeScore,FullTimeAwayScore,HalftimeHomeScore,HalftimeAwayScore,FullTimeResult
03/17/2023 19:30:00,D1,25,M'gladbach,Werder Bremen,,,,,
03/18/2023 14:30:00,D1,25,Stuttgart,Wolfsburg,,,,,
03/18/2023 14:30:00,D1,25,Augsburg,Schalke 04,,,,,
03/18/2023 14:30:00,D1,25,Bochum,RB Leipzig,,,,,
03/18/2023 14:30:00,D1,25,Hoffenheim,Hertha,,,,,
03/18/2023 17:30:00,D1,25,Dortmund,FC Koln,,,,,
03/19/2023 14:30:00,D1,25,Union Berlin,Ein Frankfurt,,,,,
03/19/2023 16:30:00,D1,25,Leverkusen,Bayern Munich,,,,,
03/19/2023 18:30:00,D1,25,Mainz,Freiburg,,,,,
03/11/2023 12:30:00,E0,27,Bournemouth,Liverpool,,,,,
03/11/2023 15:00:00,E0,27,Tottenham,Nott'm Forest,,,,,
03/11/2023 15:00:00,E0,27,Leicester,Chelsea,,,,,
03/11/2023 15:00:00,E0,27,Leeds,Brighton,,,,,
03/11/2023 15:00:00,E0,27,Everton,Brentford,,,,,
03/11/2023 17:30:00,E0,27,Crystal Palace,Man City,,,,,
03/12/2023 14:00:00,E0,27,West Ham,Aston Villa,,,,,
03/12/2023 14:00:00,E0,27,Man United,Southampton,,,,,
03/12/2023 14:00:00,E0,27,Fulham,Arsenal,,,,,
03/12/2023 16:30:00,E0,27,Newcastle,Wolves,,,,,
03/10/2023 20:00:00,SP1,25,Cadiz,Getafe,,,,,
03/11/2023 13:00:00,SP1,25,Real Madrid,Espanol,,,,,
03/11/2023 15:15:00,SP1,25,Elche,Valladolid,,,,,
03/11/2023 17:30:00,SP1,25,Celta,Vallecano,,,,,
03/11/2023 20:00:00,SP1,25,Valencia,Osasuna,,,,,
03/12/2023 13:00:00,SP1,25,Mallorca,Sociedad,,,,,
03/12/2023 15:15:00,SP1,25,Sevilla,Almeria,,,,,
03/12/2023 17:30:00,SP1,25,Villarreal,Betis,,,,,
03/12/2023 20:00:00,SP1,25,Ath Bilbao,Barcelona,,,,,
03/13/2023 20:00:00,SP1,25,Girona,Ath Madrid,,,,,
03/10/2023 19:45:00,I1,26,Spezia,Inter,,,,,
03/11/2023 14:00:00,I1,26,Empoli,Udinese,,,,,
03/11/2023 17:00:00,I1,26,Napoli,Atalanta,,,,,
03/11/2023 19:45:00,I1,26,Bologna,Lazio,,,,,
03/12/2023 11:30:00,I1,26,Lecce,Torino,,,,,
03/12/2023 14:00:00,I1,26,Verona,Monza,,,,,
03/12/2023 14:00:00,I1,26,Cremonese,Fiorentina,,,,,
03/12/2023 17:00:00,I1,26,Roma,Sassuolo,,,,,
03/12/2023 19:45:00,I1,26,Juventus,Sampdoria,,,,,
03/13/2023 19:45:00,I1,26,Milan,Salernitana,,,,,
03/10/2023 20:00:00,E1,36,Stoke,Blackburn,,,,,
03/11/2023 12:30:00,E1,36,Bristol City,Blackpool,,,,,
03/11/2023 15:00:00,E1,36,Preston,Cardiff,,,,,
03/11/2023 15:00:00,E1,36,Swansea,Middlesbrough,,,,,
03/11/2023 15:00:00,E1,36,Reading,Millwall,,,,,
03/11/2023 15:00:00,E1,36,Sheffield United,Luton,,,,,
03/11/2023 15:00:00,E1,36,West Brom,Huddersfield,,,,,
03/11/2023 15:00:00,E1,36,Birmingham,Rotherham,,,,,
03/11/2023 15:00:00,E1,36,Burnley,Wigan,,,,,
03/11/2023 15:00:00,E1,36,Coventry,Hull,,,,,
03/11/2023 15:00:00,E1,36,QPR,Watford,,,,,
03/12/2023 12:00:00,E1,36,Norwich,Sunderland,,,,,
03/10/2023 20:00:00,F1,27,Lille,Lyon,,,,,
03/11/2023 16:00:00,F1,27,Auxerre,Rennes,,,,,
03/11/2023 20:00:00,F1,27,Brest,Paris SG,,,,,
03/12/2023 12:00:00,F1,27,Clermont,Lens,,,,,
03/12/2023 14:00:00,F1,27,Nantes,Nice,,,,,
03/12/2023 14:00:00,F1,27,Lorient,Troyes,,,,,
03/12/2023 14:00:00,F1,27,Angers,Toulouse,,,,,
03/12/2023 14:00:00,F1,27,Ajaccio,Montpellier,,,,,
03/12/2023 16:05:00,F1,27,Monaco,Reims,,,,,
03/12/2023 19:45:00,F1,27,Marseille,Strasbourg,,,,,
