DateTime,League,GameDay,Home,Away,FullTimeHomeScore,FullTimeAwayScore,HalftimeHomeScore,HalftimeAwayScore,FullTimeResult
08/05/2022 00:00:00,D1,0,Ein Frankfurt,Bayern Munich,1,6,0,5,A
08/06/2022 00:00:00,D1,0,Augsburg,Freiburg,0,4,0,0,A
08/06/2022 00:00:00,D1,0,Bochum,Mainz,1,2,1,1,A
08/06/2022 00:00:00,D1,0,M'gladbach,Hoffenheim,3,1,1,1,H
08/06/2022 00:00:00,D1,0,Union Berlin,Hertha,3,1,1,0,H
08/06/2022 00:00:00,D1,0,Wolfsburg,Werder Bremen,2,2,1,2,D
08/06/2022 00:00:00,D1,0,Dortmund,Leverkusen,1,0,1,0,H
08/07/2022 00:00:00,D1,0,Stuttgart,RB Leipzig,1,1,1,1,D
08/07/2022 00:00:00,D1,0,FC Koln,Schalke 04,3,1,0,0,H
08/12/2022 00:00:00,D1,0,Freiburg,Dortmund,1,3,1,0,A
08/13/2022 00:00:00,D1,0,Hertha,Ein Frankfurt,1,1,1,0,D
08/13/2022 00:00:00,D1,0,Hoffenheim,Bochum,3,2,2,2,H
08/13/2022 00:00:00,D1,0,Leverkusen,Augsburg,1,2,1,1,A
08/13/2022 00:00:00,D1,0,RB Leipzig,FC Koln,2,2,1,1,D
08/13/2022 00:00:00,D1,0,Werder Bremen,Stuttgart,2,2,1,1,D
08/13/2022 00:00:00,D1,0,Schalke 04,M'gladbach,2,2,1,0,D
08/14/2022 00:00:00,D1,0,Mainz,Union Berlin,0,0,0,0,D
08/14/2022 00:00:00,D1,0,Bayern Munich,Wolfsburg,2,0,2,0,H
08/19/2022 00:00:00,D1,0,M'gladbach,Hertha,1,0,1,0,H
08/20/2022 00:00:00,D1,0,Augsburg,Mainz,1,2,1,1,A
08/20/2022 00:00:00,D1,0,Dortmund,Werder Bremen,2,3,1,0,A
08/20/2022 00:00:00,D1,0,Leverkusen,Hoffenheim,0,3,0,2,A
08/20/2022 00:00:00,D1,0,Stuttgart,Freiburg,0,1,0,1,A
08/20/2022 00:00:00,D1,0,Wolfsburg,Schalke 04,0,0,0,0,D
08/20/2022 00:00:00,D1,0,Union Berlin,RB Leipzig,2,1,2,0,H
08/21/2022 00:00:00,D1,0,Ein Frankfurt,FC Koln,1,1,0,0,D
08/21/2022 00:00:00,D1,0,Bochum,Bayern Munich,0,7,0,4,A
08/26/2022 00:00:00,D1,0,Freiburg,Bochum,1,0,0,0,H
08/27/2022 00:00:00,D1,0,Hertha,Dortmund,0,1,0,1,A
08/27/2022 00:00:00,D1,0,Hoffenheim,Augsburg,1,0,1,0,H
08/27/2022 00:00:00,D1,0,Mainz,Leverkusen,0,3,0,3,A
08/27/2022 00:00:00,D1,0,RB Leipzig,Wolfsburg,2,0,1,0,H
08/27/2022 00:00:00,D1,0,Schalke 04,Union Berlin,1,6,1,3,A
08/27/2022 00:00:00,D1,0,Bayern Munich,M'gladbach,1,1,0,1,D
08/28/2022 00:00:00,D1,0,FC Koln,Stuttgart,0,0,0,0,D
08/28/2022 00:00:00,D1,0,Werder Bremen,Ein Frankfurt,3,4,2,3,A
09/02/2022 00:00:00,D1,0,Dortmund,Hoffenheim,1,0,1,0,H
09/03/2022 00:00:00,D1,0,Bochum,Werder Bremen,0,2,0,0,A
09/03/2022 00:00:00,D1,0,Leverkusen,Freiburg,2,3,1,0,A
09/03/2022 00:00:00,D1,0,Stuttgart,Schalke 04,1,1,1,1,D
09/03/2022 00:00:00,D1,0,Union Berlin,Bayern Munich,1,1,1,1,D
09/03/2022 00:00:00,D1,0,Wolfsburg,FC Koln,2,4,1,3,A
09/03/2022 00:00:00,D1,0,Ein Frankfurt,RB Leipzig,4,0,2,0,H
09/04/2022 00:00:00,D1,0,Augsburg,Hertha,0,2,0,0,A
09/04/2022 00:00:00,D1,0,M'gladbach,Mainz,0,1,0,0,A
09/09/2022 00:00:00,D1,0,Werder Bremen,Augsburg,0,1,0,0,A
09/10/2022 00:00:00,D1,0,Bayern Munich,Stuttgart,2,2,1,0,D
09/10/2022 00:00:00,D1,0,Ein Frankfurt,Wolfsburg,0,1,0,0,A
09/10/2022 00:00:00,D1,0,Hertha,Leverkusen,2,2,0,0,D
