HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Dortmund,Augsburg,4,3,27,14,2,2,0,0,0
M'gladbach,Leverkusen,2,3,15,13,0,2,0,0,0
Bochum,Hertha,3,1,10,10,2,0,0,0,0
Ein Frankfurt,Schalke 04,3,0,11,18,1,0,0,0,0
Stuttgart,Mainz,1,1,16,12,1,1,0,0,0
Union Berlin,Hoffenheim,3,1,23,10,0,1,0,0,0
Wolfsburg,Freiburg,6,0,13,9,3,0,0,0,0
FC Koln,Werder Bremen,7,1,15,4,5,1,0,0,0
RB Leipzig,Bayern Munich,1,1,10,7,0,1,0,0,0
Mainz,Ein Frankfurt,1,1,19,10,1,0,0,0,0
Freiburg,Union Berlin,4,1,7,4,4,0,0,0,0
Augsburg,Bochum,0,1,19,11,0,0,0,0,0
Hertha,FC Koln,2,0,17,10,1,0,0,0,0
Hoffenheim,Wolfsburg,1,2,22,6,1,1,0,0,0
Leverkusen,Stuttgart,2,0,11,7,1,0,0,0,0
Werder Bremen,RB Leipzig,1,2,7,14,0,1,0,0,0
Schalke 04,Bayern Munich,0,2,6,22,0,1,0,0,0
M'gladbach,Dortmund,4,2,11,20,3,2,0,0,0
FC Koln,Leverkusen,1,2,17,10,1,0,0,0,0
Ein Frankfurt,Hoffenheim,4,2,15,12,3,1,0,0,0
RB Leipzig,Freiburg,3,1,18,4,0,0,0,0,0
Schalke 04,Mainz,1,0,13,11,1,0,0,0,0
Union Berlin,Augsburg,2,2,18,7,2,2,0,0,0
Wolfsburg,Dortmund,2,0,15,20,1,0,0,0,0
Bayern Munich,Werder Bremen,6,1,21,4,4,1,0,0,0
Bochum,M'gladbach,2,1,13,8,2,0,0,0,0
Stuttgart,Hertha,2,1,16,11,1,1,0,0,0
Leverkusen,Union Berlin,5,0,11,6,0,0,0,0,0
Freiburg,FC Koln,2,0,13,6,0,0,0,0,0
Augsburg,Ein Frankfurt,1,2,9,12,1,1,0,0,0
Dortmund,Bochum,3,0,6,7,3,0,0,0,0
Hertha,Bayern Munich,2,3,7,14,2,3,0,0,0
Hoffenheim,RB Leipzig,1,3,11,17,0,1,0,0,0
Mainz,Wolfsburg,0,3,16,10,0,1,0,0,0
Werder Bremen,Schalke 04,2,1,11,19,1,0,0,0,0
M'gladbach,Stuttgart,3,1,11,13,2,1,0,0,0
Union Berlin,M'gladbach,2,1,14,7,0,1,0,0,0
Schalke 04,Freiburg,0,2,12,19,0,1,0,0,0
FC Koln,Hoffenheim,1,1,11,9,1,1,0,0,0
Bayern Munich,Mainz,6,2,25,13,3,1,0,0,0
RB Leipzig,Leverkusen,2,0,10,4,1,0,0,0,0
Stuttgart,Augsburg,2,1,31,12,1,1,0,0,0
Wolfsburg,Bochum,4,0,22,10,2,0,0,0,0
Ein Frankfurt,Dortmund,1,2,20,8,1,1,0,0,0
Werder Bremen,Hertha,1,0,15,9,0,0,0,0,0
Bochum,Union Berlin,2,1,8,6,1,0,0,0,0
Hertha,Schalke 04,2,1,11,9,0,0,0,0,0
Augsburg,RB Leipzig,3,3,11,19,1,0,0,0,0
Dortmund,Stuttgart,5,0,19,10,3,0,0,0,0
Freiburg,Werder Bremen,2,0,25,10,0,0,0,0,0
Hoffenheim,Bayern Munich,0,2,7,23,0,2,0,0,0
Leverkusen,Wolfsburg,2,2,13,9,1,1,0,0,0
M'gladbach,Ein Frankfurt,1,3,8,16,0,3,0,0,0
Mainz,FC Koln,5,0,15,6,3,0,0,0,0
FC Koln,Augsburg,3,2,14,7,0,1,0,0,0
Union Berlin,Dortmund,2,0,14,13,2,0,0,0,0
Bayern Munich,Freiburg,5,0,18,6,2,0,0,0,0
Ein Frankfurt,Leverkusen,5,1,20,5,1,0,0,0,0
Stuttgart,Bochum,4,1,16,14,2,1,0,0,0
Werder Bremen,Mainz,0,2,14,11,0,1,0,0,0
Wolfsburg,M'gladbach,2,2,16,10,1,1,0,0,0
RB Leipzig,Hertha,3,2,14,16,3,0,0,0,0
Schalke 04,Hoffenheim,0,3,14,18,0,2,0,0,0
M'gladbach,FC Koln,5,2,13,5,2,1,0,0,0
Hertha,Freiburg,2,2,11,10,1,1,0,0,0
Stuttgart,Union Berlin,0,1,9,7,0,0,0,0,0
Augsburg,Wolfsburg,1,1,18,12,0,1,0,0,0
Bochum,Ein Frankfurt,3,0,11,11,0,0,0,0,0
Leverkusen,Schalke 04,4,0,13,2,2,0,0,0,0
Mainz,RB Leipzig,1,1,9,12,1,0,0,0,0
Dortmund,Bayern Munich,2,2,13,9,0,1,0,0,0
Hoffenheim,Werder Bremen,1,2,16,8,1,1,0,0,0
Hertha,Hoffenheim,1,1,13,16,1,1,0,0,0
Schalke 04,Augsburg,2,3,16,11,1,2,0,0,0
Ein Frankfurt,Union Berlin,2,0,14,14,2,0,0,0,0
FC Koln,Dortmund,3,2,20,21,0,1,0,0,0
Freiburg,Mainz,2,1,13,17,2,0,0,0,0
RB Leipzig,Bochum,4,0,17,2,2,0,0,0,0
Wolfsburg,Stuttgart,3,2,20,15,2,2,0,0,0
Werder Bremen,M'gladbach,5,1,14,13,4,0,0,0,0
Bayern Munich,Leverkusen,4,0,20,10,3,0,0,0,0
Union Berlin,Wolfsburg,2,0,16,5,0,0,0,0,0
Bochum,FC Koln,1,1,7,18,1,0,0,0,0
Hoffenheim,Freiburg,0,0,10,14,0,0,0,0,0
Augsburg,Bayern Munich,1,0,9,21,0,0,0,0,0
Dortmund,Schalke 04,1,0,19,3,0,0,0,0,0
Leverkusen,Werder Bremen,1,1,19,19,0,0,0,0,0
Stuttgart,Ein Frankfurt,1,3,15,13,0,1,0,0,0
M'gladbach,RB Leipzig,3,0,21,13,2,0,0,0,0
Mainz,Hertha,1,1,12,4,0,1,0,0,0
FC Koln,Union Berlin,0,1,7,12,0,1,0,0,0
Freiburg,M'gladbach,0,0,13,14,0,0,0,0,0
Bayern Munich,Stuttgart,2,2,18,8,1,0,0,0,0
Ein Frankfurt,Wolfsburg,0,1,11,6,0,0,0,0,0
Hertha,Leverkusen,2,2,17,11,0,0,0,0,0
Hoffenheim,Mainz,4,1,21,10,0,0,0,0,0
RB Leipzig,Dortmund,3,0,14,4,2,0,0,0,0
Schalke 04,Bochum,3,1,20,9,1,0,0,0,0
Werder Bremen,Augsburg,0,1,11,14,0,0,0,0,0
Augsburg,Hertha,0,2,8,16,0,0,0,0,0
M'gladbach,Mainz,0,1,13,12,0,0,0,0,0
Bochum,Werder Bremen,0,2,19,16,0,0,0,0,0
Leverkusen,Freiburg,2,3,15,5,1,0,0,0,0
Stuttgart,Schalke 04,1,1,13,13,1,1,0,0,0
Union Berlin,Bayern Munich,1,1,10,21,1,1,0,0,0
Wolfsburg,FC Koln,2,4,9,18,1,3,0,0,0
Ein Frankfurt,RB Leipzig,4,0,14,5,2,0,0,0,0
Dortmund,Hoffenheim,1,0,16,7,1,0,0,0,0
FC Koln,Stuttgart,0,0,6,13,0,0,0,0,0
Werder Bremen,Ein Frankfurt,3,4,10,12,2,3,0,0,0
Hertha,Dortmund,0,1,12,24,0,1,0,0,0
Hoffenheim,Augsburg,1,0,24,12,1,0,0,0,0
Mainz,Leverkusen,0,3,17,7,0,3,0,0,0
RB Leipzig,Wolfsburg,2,0,16,9,1,0,0,0,0
Schalke 04,Union Berlin,1,6,12,12,1,3,0,0,0
Bayern Munich,M'gladbach,1,1,35,5,0,1,0,0,0
Freiburg,Bochum,1,0,28,15,0,0,0,0,0
Ein Frankfurt,FC Koln,1,1,10,6,0,0,0,0,0
Bochum,Bayern Munich,0,7,13,22,0,4,0,0,0
Augsburg,Mainz,1,2,6,14,1,1,0,0,0
Dortmund,Werder Bremen,2,3,5,14,1,0,0,0,0
Leverkusen,Hoffenheim,0,3,14,10,0,2,0,0,0
Stuttgart,Freiburg,0,1,18,9,0,1,0,0,0
Wolfsburg,Schalke 04,0,0,16,9,0,0,0,0,0
Union Berlin,RB Leipzig,2,1,9,16,2,0,0,0,0
M'gladbach,Hertha,1,0,11,18,1,0,0,0,0
Mainz,Union Berlin,0,0,10,10,0,0,0,0,0
Bayern Munich,Wolfsburg,2,0,24,7,2,0,0,0,0
Hertha,Ein Frankfurt,1,1,11,11,1,0,0,0,0
Hoffenheim,Bochum,3,2,24,11,2,2,0,0,0
Leverkusen,Augsburg,1,2,23,6,1,1,0,0,0
RB Leipzig,FC Koln,2,2,9,12,1,1,0,0,0
Werder Bremen,Stuttgart,2,2,5,14,1,1,0,0,0
Schalke 04,M'gladbach,2,2,14,14,1,0,0,0,0
Freiburg,Dortmund,1,3,16,16,1,0,0,0,0
Stuttgart,RB Leipzig,1,1,11,27,1,1,0,0,0
FC Koln,Schalke 04,3,1,30,6,0,0,0,0,0
Augsburg,Freiburg,0,4,10,19,0,0,0,0,0
Bochum,Mainz,1,2,16,13,1,1,0,0,0
M'gladbach,Hoffenheim,3,1,18,2,1,1,0,0,0
Union Berlin,Hertha,3,1,18,9,1,0,0,0,0
Wolfsburg,Werder Bremen,2,2,13,10,1,2,0,0,0
Dortmund,Leverkusen,1,0,13,8,1,0,0,0,0
Ein Frankfurt,Bayern Munich,1,6,8,23,0,5,0,0,0
Augsburg,Greuther Furth,2,1,8,6,1,1,0,0,0
Bielefeld,RB Leipzig,1,1,8,18,0,0,0,0,0
Dortmund,Hertha,2,1,9,4,0,1,0,0,0
Leverkusen,Freiburg,2,1,11,13,0,0,0,0,0
Mainz,Ein Frankfurt,2,2,13,13,1,2,0,0,0
M'gladbach,Hoffenheim,5,1,19,10,3,1,0,0,0
Stuttgart,FC Koln,2,1,24,16,1,0,0,0,0
Union Berlin,Bochum,3,2,17,5,2,0,0,0,0
Wolfsburg,Bayern Munich,2,2,10,25,1,2,0,0,0
Ein Frankfurt,M'gladbach,1,1,18,11,0,1,0,0,0
Bayern Munich,Stuttgart,2,2,25,15,2,1,0,0,0
RB Leipzig,Augsburg,4,0,14,6,1,0,0,0,0
FC Koln,Wolfsburg,0,1,17,5,0,1,0,0,0
Freiburg,Union Berlin,1,4,18,13,0,3,0,0,0
Greuther Furth,Dortmund,1,3,8,8,0,1,0,0,0
Hoffenheim,Leverkusen,2,4,12,15,2,1,0,0,0
Hertha,Mainz,1,2,10,13,1,1,0,0,0
Bochum,Bielefeld,2,1,16,14,1,1,0,0,0
Leverkusen,Ein Frankfurt,2,0,11,9,1,0,0,0,0
M'gladbach,RB Leipzig,3,1,9,10,2,1,0,0,0
Augsburg,FC Koln,1,4,14,18,0,2,0,0,0
Bielefeld,Hertha,1,1,6,9,0,0,0,0,0
Dortmund,Bochum,3,4,19,12,2,2,0,0,0
Mainz,Bayern Munich,3,1,24,4,2,1,0,0,0
Stuttgart,Wolfsburg,1,1,18,15,0,1,0,0,0
Hoffenheim,Freiburg,3,4,17,9,1,1,0,0,0
Union Berlin,Greuther Furth,1,1,6,7,0,1,0,0,0
Bochum,Augsburg,0,2,18,12,0,2,0,0,0
Hertha,Stuttgart,2,0,7,12,1,0,0,0,0
Ein Frankfurt,Hoffenheim,2,2,17,11,1,1,0,0,0
FC Koln,Bielefeld,3,1,19,16,2,1,0,0,0
Freiburg,M'gladbach,3,3,19,7,0,2,0,0,0
