HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Barnsley,Accrington,3,1,14,9,3,0,0,0,0
Derby,Bolton,2,1,8,6,1,0,0,0,0
Forest Green,Milton Keynes Dons,1,2,6,6,1,1,0,0,0
Oxford,Ipswich,2,1,13,17,1,1,0,0,0
Plymouth,Cheltenham,4,2,15,9,2,1,0,0,0
Portsmouth,Exeter,2,0,14,12,0,0,0,0,0
Sheffield Weds,Fleetwood Town,1,0,14,9,1,0,0,0,0
Shrewsbury,Cambridge,5,1,19,10,2,0,0,0,0
Port Vale,Peterboro,0,2,11,14,0,0,0,0,0
Accrington,Bristol Rvs,2,0,9,8,0,0,0,0,0
Bolton,Portsmouth,3,0,13,13,1,0,0,0,0
Burton,Shrewsbury,0,4,9,11,0,2,0,0,0
Charlton,Barnsley,2,0,8,23,1,0,0,0,0
Cheltenham,Derby,2,3,14,14,1,2,0,0,0
Exeter,Forest Green,1,1,12,6,0,0,0,0,0
Fleetwood Town,Oxford,1,2,19,11,1,0,0,0,0
Ipswich,Plymouth,1,1,12,9,0,0,0,0,0
Milton Keynes Dons,Lincoln,0,0,5,6,0,0,0,0,0
Wycombe,Sheffield Weds,0,1,8,12,0,1,0,0,0
Bolton,Plymouth,0,0,14,6,0,0,0,0,0
Cambridge,Bristol Rvs,1,2,12,4,1,2,0,0,0
Charlton,Lincoln,2,1,19,11,2,0,0,0,0
Morecambe,Cheltenham,2,1,9,12,1,1,0,0,0
Barnsley,Bolton,0,3,9,14,0,2,0,0,0
Derby,Accrington,4,0,15,5,3,0,0,0,0
Lincoln,Ipswich,1,1,2,21,0,0,0,0,0
Sheffield Weds,Cambridge,5,0,25,10,2,0,0,0,0
Bristol Rvs,Cheltenham,2,1,10,20,2,0,0,0,0
Forest Green,Port Vale,1,3,10,18,1,0,0,0,0
Morecambe,Burton,5,0,18,7,2,0,0,0,0
Oxford,Exeter,0,1,20,9,0,0,0,0,0
Peterboro,Wycombe,0,3,25,13,0,1,0,0,0
Plymouth,Milton Keynes Dons,3,1,10,10,2,1,0,0,0
Portsmouth,Charlton,1,3,11,14,1,1,0,0,0
Shrewsbury,Fleetwood Town,0,3,6,15,0,2,0,0,0
Derby,Cambridge,1,0,14,9,0,0,0,0,0
Lincoln,Bolton,1,1,5,6,1,0,0,0,0
Barnsley,Fleetwood Town,2,1,12,3,0,0,0,0,0
Bristol Rvs,Exeter,3,4,12,14,0,2,0,0,0
Forest Green,Burton,1,2,8,7,0,1,0,0,0
Morecambe,Accrington,2,0,9,21,2,0,0,0,0
Oxford,Charlton,3,1,16,10,2,0,0,0,0
Peterboro,Milton Keynes Dons,2,0,16,5,1,0,0,0,0
Plymouth,Wycombe,1,0,16,15,1,0,0,0,0
Portsmouth,Ipswich,2,2,7,14,1,1,0,0,0
Sheffield Weds,Port Vale,2,0,8,8,1,0,0,0,0
Shrewsbury,Cheltenham,0,1,13,3,0,1,0,0,0
Bolton,Derby,0,0,9,11,0,0,0,0,0
Accrington,Barnsley,1,1,4,20,0,1,0,0,0
Burton,Lincoln,3,0,11,8,3,0,0,0,0
Cambridge,Shrewsbury,2,1,9,13,0,0,0,0,0
Charlton,Peterboro,1,1,8,19,0,0,0,0,0
Cheltenham,Plymouth,0,1,16,13,0,0,0,0,0
Exeter,Portsmouth,0,0,14,15,0,0,0,0,0
Fleetwood Town,Sheffield Weds,1,2,10,19,1,1,0,0,0
Ipswich,Oxford,3,0,18,7,2,0,0,0,0
Milton Keynes Dons,Forest Green,1,0,14,14,0,0,0,0,0
Port Vale,Morecambe,1,0,8,8,1,0,0,0,0
Wycombe,Bristol Rvs,2,1,15,14,1,1,0,0,0
Barnsley,Burton,2,0,11,8,1,0,0,0,0
Bolton,Exeter,2,0,11,5,2,0,0,0,0
Charlton,Bristol Rvs,1,2,13,11,1,0,0,0,0
Derby,Forest Green,4,0,15,3,2,0,0,0,0
Plymouth,Morecambe,2,1,32,8,0,0,0,0,0
Portsmouth,Milton Keynes Dons,0,2,14,14,0,1,0,0,0
Sheffield Weds,Oxford,0,0,15,13,0,0,0,0,0
Wycombe,Ipswich,1,0,9,19,1,0,0,0,0
Ipswich,Peterboro,2,1,11,8,1,1,0,0,0
Shrewsbury,Bolton,3,2,8,9,1,1,0,0,0
Burton,Derby,1,1,11,14,0,1,0,0,0
Forest Green,Cheltenham,1,0,14,6,0,0,0,0,0
Bristol Rvs,Port Vale,1,0,10,7,0,0,0,0,0
Cambridge,Plymouth,0,0,13,14,0,0,0,0,0
Exeter,Sheffield Weds,1,1,7,12,0,0,0,0,0
Lincoln,Wycombe,0,0,11,5,0,0,0,0,0
Milton Keynes Dons,Fleetwood Town,1,2,17,7,0,0,0,0,0
Wycombe,Portsmouth,2,0,14,10,1,0,0,0,0
Derby,Sheffield Weds,0,0,7,5,0,0,0,0,0
Milton Keynes Dons,Burton,1,1,18,8,0,1,0,0,0
Shrewsbury,Lincoln,2,0,10,13,1,0,0,0,0
Forest Green,Cambridge,2,1,12,8,1,0,0,0,0
Accrington,Oxford,1,1,12,7,0,0,0,0,0
Bolton,Bristol Rvs,1,1,19,2,0,1,0,0,0
Charlton,Cheltenham,0,1,14,13,0,0,0,0,0
Ipswich,Fleetwood Town,1,1,12,7,1,0,0,0,0
Morecambe,Exeter,1,1,7,19,1,1,0,0,0
Peterboro,Barnsley,1,2,6,4,1,1,0,0,0
Plymouth,Port Vale,0,2,15,12,0,0,0,0,0
Exeter,Ipswich,0,2,7,13,0,1,0,0,0
Barnsley,Milton Keynes Dons,3,1,20,2,1,1,0,0,0
Bristol Rvs,Peterboro,1,0,19,9,0,0,0,0,0
Burton,Plymouth,2,2,14,10,1,0,0,0,0
Cambridge,Accrington,0,1,5,12,0,1,0,0,0
Cheltenham,Wycombe,1,0,11,14,1,0,0,0,0
Fleetwood Town,Bolton,1,2,12,18,1,0,0,0,0
Lincoln,Morecambe,2,1,13,9,1,0,0,0,0
Oxford,Forest Green,1,1,18,12,1,0,0,0,0
Port Vale,Charlton,1,0,13,5,0,0,0,0,0
Sheffield Weds,Shrewsbury,1,0,14,9,1,0,0,0,0
Portsmouth,Derby,0,0,10,13,0,0,0,0,0
Accrington,Sheffield Weds,0,1,9,18,0,1,0,0,0
Bristol Rvs,Fleetwood Town,2,2,13,13,0,1,0,0,0
Burton,Charlton,3,3,25,12,2,2,0,0,0
Cambridge,Bolton,0,0,10,14,0,0,0,0,0
Exeter,Peterboro,3,2,6,16,1,1,0,0,0
Forest Green,Wycombe,0,2,14,16,0,2,0,0,0
Ipswich,Cheltenham,1,1,29,3,1,1,0,0,0
Lincoln,Plymouth,1,1,17,16,1,1,0,0,0
Milton Keynes Dons,Derby,1,3,13,8,1,1,0,0,0
Morecambe,Portsmouth,1,1,15,14,1,0,0,0,0
Oxford,Port Vale,4,0,21,14,2,0,0,0,0
Shrewsbury,Barnsley,0,1,9,14,0,1,0,0,0
Shrewsbury,Oxford,1,1,12,11,0,1,0,0,0
Lincoln,Accrington,1,1,9,10,0,0,0,0,0
Morecambe,Derby,1,1,10,27,1,0,0,0,0
Oxford,Fleetwood Town,1,1,21,10,0,1,0,0,0
Wycombe,Port Vale,2,2,13,12,1,1,0,0,0
Plymouth,Exeter,4,2,10,10,1,1,0,0,0
Barnsley,Forest Green,2,0,18,3,1,0,0,0,0
Bolton,Oxford,1,3,10,12,0,1,0,0,0
Charlton,Ipswich,4,4,9,18,0,1,0,0,0
Cheltenham,Milton Keynes Dons,0,0,14,15,0,0,0,0,0
Derby,Bristol Rvs,4,2,16,10,4,2,0,0,0
Fleetwood Town,Accrington,3,0,12,15,0,0,0,0,0
Peterboro,Cambridge,1,0,19,10,1,0,0,0,0
Port Vale,Lincoln,1,0,16,2,0,0,0,0,0
Portsmouth,Shrewsbury,1,1,16,4,1,1,0,0,0
Sheffield Weds,Burton,4,2,16,11,2,0,0,0,0
Wycombe,Morecambe,1,1,14,16,1,0,0,0,0
Sheffield Weds,Bristol Rvs,1,1,22,10,1,0,0,0,0
Barnsley,Lincoln,0,1,13,7,0,1,0,0,0
Bolton,Burton,2,1,16,13,0,0,0,0,0
Charlton,Milton Keynes Dons,0,2,7,8,0,0,0,0,0
Cheltenham,Morecambe,1,0,17,5,1,0,0,0,0
Derby,Exeter,0,0,10,4,0,0,0,0,0
Fleetwood Town,Forest Green,1,1,17,11,0,1,0,0,0
Peterboro,Accrington,3,1,14,18,1,1,0,0,0
Plymouth,Shrewsbury,2,1,17,14,0,1,0,0,0
Port Vale,Ipswich,2,3,10,14,1,2,0,0,0
Portsmouth,Oxford,1,1,19,10,0,1,0,0,0
Wycombe,Cambridge,2,3,22,10,1,2,0,0,0
Lincoln,Sheffield Weds,1,1,6,17,0,1,0,0,0
Accrington,Bolton,2,3,13,17,1,0,0,0,0
Bristol Rvs,Plymouth,2,2,17,10,0,2,0,0,0
Burton,Cheltenham,1,0,16,4,0,0,0,0,0
Cambridge,Port Vale,0,1,8,10,0,0,0,0,0
Exeter,Fleetwood Town,2,1,8,13,1,1,0,0,0
Forest Green,Portsmouth,0,1,9,16,0,1,0,0,0
Milton Keynes Dons,Wycombe,0,1,14,11,0,1,0,0,0
Morecambe,Barnsley,1,0,5,14,1,0,0,0,0
Oxford,Peterboro,1,2,12,8,0,2,0,0,0
Shrewsbury,Charlton,0,1,9,17,0,0,0,0,0
Ipswich,Derby,1,0,16,5,0,0,0,0,0
Charlton,Portsmouth,3,0,11,10,2,0,0,0,0
Accrington,Derby,0,3,8,14,0,2,0,0,0
Bolton,Barnsley,0,0,7,6,0,0,0,0,0
Burton,Morecambe,1,1,15,6,1,0,0,0,0
Cambridge,Sheffield Weds,0,2,11,15,0,1,0,0,0
Cheltenham,Bristol Rvs,1,4,10,5,0,4,0,0,0
Exeter,Oxford,2,4,10,19,0,3,0,0,0
Fleetwood Town,Shrewsbury,0,1,22,10,0,1,0,0,0
Ipswich,Lincoln,0,1,33,3,0,1,0,0,0
Milton Keynes Dons,Plymouth,1,4,10,16,0,3,0,0,0
Port Vale,Forest Green,2,2,20,9,0,2,0,0,0
Wycombe,Peterboro,3,1,15,13,1,1,0,0,0
Charlton,Exeter,4,2,15,12,2,1,0,0,0
Milton Keynes Dons,Bristol Rvs,0,1,4,13,0,0,0,0,0
Peterboro,Forest Green,4,1,21,8,2,1,0,0,0
Barnsley,Exeter,0,2,15,9,0,1,0,0,0
Bristol Rvs,Cambridge,2,1,15,17,1,1,0,0,0
Derby,Port Vale,1,2,13,20,1,0,0,0,0
