HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Lille,Troyes,5,1,23,10,2,0,0,0,0
Angers,Clermont,1,2,5,10,0,1,0,0,0
Montpellier,Nantes,0,3,11,12,0,1,0,0,0
Reims,Nice,0,0,13,6,0,0,0,0,0
Toulouse,Brest,1,1,16,17,0,1,0,0,0
Monaco,Ajaccio,7,1,11,5,5,1,0,0,0
Rennes,Paris SG,1,0,8,8,0,0,0,0,0
Lille,Troyes,5,1,23,10,2,0,0,0,0
Angers,Clermont,1,2,5,10,0,1,0,0,0
Montpellier,Nantes,0,3,11,12,0,1,0,0,0
Reims,Nice,0,0,13,6,0,0,0,0,0
Toulouse,Brest,1,1,16,17,0,1,0,0,0
Monaco,Ajaccio,7,1,11,5,5,1,0,0,0
Rennes,Paris SG,1,0,8,8,0,0,0,0,0
Lens,Auxerre,1,0,10,6,0,0,0,0,0
Marseille,Lorient,3,1,16,11,1,1,0,0,0
Lyon,Strasbourg,1,2,28,8,1,2,0,0,0
Lens,Auxerre,1,0,10,6,0,0,0,0,0
Marseille,Lorient,3,1,16,11,1,1,0,0,0
Lyon,Strasbourg,1,2,28,8,1,2,0,0,0
Ajaccio,Reims,0,1,11,9,0,1,0,0,0
Auxerre,Toulouse,0,5,19,9,0,3,0,0,0
Brest,Lille,0,0,5,11,0,0,0,0,0
Clermont,Rennes,2,1,11,9,1,0,0,0,0
Nantes,Lyon,0,0,13,10,0,0,0,0,0
Lorient,Monaco,2,2,8,16,0,0,0,0,0
Nice,Montpellier,6,1,16,4,2,0,0,0,0
Paris SG,Angers,2,0,9,6,1,0,0,0,0
Strasbourg,Lens,2,2,9,15,2,2,0,0,0
Troyes,Marseille,0,2,5,13,0,1,0,0,0
Ajaccio,Reims,0,1,11,9,0,1,0,0,0
Auxerre,Toulouse,0,5,19,9,0,3,0,0,0
Brest,Lille,0,0,5,11,0,0,0,0,0
Clermont,Rennes,2,1,11,9,1,0,0,0,0
Nantes,Lyon,0,0,13,10,0,0,0,0,0
Lorient,Monaco,2,2,8,16,0,0,0,0,0
Nice,Montpellier,6,1,16,4,2,0,0,0,0
Paris SG,Angers,2,0,9,6,1,0,0,0,0
Strasbourg,Lens,2,2,9,15,2,2,0,0,0
Troyes,Marseille,0,2,5,13,0,1,0,0,0
Strasbourg,Troyes,2,3,17,9,1,2,0,0,0
Lille,Reims,1,1,14,9,1,0,0,0,0
Montpellier,Marseille,1,2,8,18,0,0,0,0,0
Rennes,Nice,2,1,20,7,1,1,0,0,0
Strasbourg,Troyes,2,3,17,9,1,2,0,0,0
Lille,Reims,1,1,14,9,1,0,0,0,0
Montpellier,Marseille,1,2,8,18,0,0,0,0,0
Rennes,Nice,2,1,20,7,1,1,0,0,0
Angers,Lorient,1,2,14,10,1,0,0,0,0
Monaco,Brest,1,0,17,13,0,0,0,0,0
Nantes,Auxerre,1,0,10,14,0,0,0,0,0
Toulouse,Ajaccio,2,0,11,1,0,0,0,0,0
Lyon,Clermont,0,1,13,13,0,0,0,0,0
Lens,Paris SG,3,1,10,16,2,1,0,0,0
Angers,Lorient,1,2,14,10,1,0,0,0,0
Monaco,Brest,1,0,17,13,0,0,0,0,0
Nantes,Auxerre,1,0,10,14,0,0,0,0,0
Toulouse,Ajaccio,2,0,11,1,0,0,0,0,0
Lyon,Clermont,0,1,13,13,0,0,0,0,0
Lens,Paris SG,3,1,10,16,2,1,0,0,0
Lorient,Montpellier,0,2,12,14,0,2,0,0,0
Reims,Rennes,3,1,10,11,2,1,0,0,0
Marseille,Toulouse,6,1,13,10,2,0,0,0,0
Nice,Lens,0,0,9,10,0,0,0,0,0
Lorient,Montpellier,0,2,12,14,0,2,0,0,0
Reims,Rennes,3,1,10,11,2,1,0,0,0
Marseille,Toulouse,6,1,13,10,2,0,0,0,0
Nice,Lens,0,0,9,10,0,0,0,0,0
Ajaccio,Angers,1,0,11,14,1,0,0,0,0
Troyes,Nantes,0,0,6,19,0,0,0,0,0
Auxerre,Monaco,2,3,11,6,1,1,0,0,0
Clermont,Lille,0,2,9,14,0,0,0,0,0
Brest,Lyon,2,4,17,17,1,3,0,0,0
Paris SG,Strasbourg,2,1,9,10,1,0,0,0,0
Ajaccio,Angers,1,0,11,14,1,0,0,0,0
Troyes,Nantes,0,0,6,19,0,0,0,0,0
Auxerre,Monaco,2,3,11,6,1,1,0,0,0
Clermont,Lille,0,2,9,14,0,0,0,0,0
Brest,Lyon,2,4,17,17,1,3,0,0,0
Paris SG,Strasbourg,2,1,9,10,1,0,0,0,0
Paris SG,Auxerre,5,0,9,9,1,0,0,0,0
Brest,Troyes,2,1,15,8,0,0,0,0,0
Lille,Angers,1,0,9,8,1,0,0,0,0
Montpellier,Reims,1,1,16,17,0,0,0,0,0
Nantes,Ajaccio,2,2,15,13,0,0,0,0,0
Strasbourg,Lorient,1,1,20,6,0,1,0,0,0
Monaco,Marseille,2,3,11,11,1,1,0,0,0
Paris SG,Auxerre,5,0,9,9,1,0,0,0,0
Brest,Troyes,2,1,15,8,0,0,0,0,0
Lille,Angers,1,0,9,8,1,0,0,0,0
Montpellier,Reims,1,1,16,17,0,0,0,0,0
Nantes,Ajaccio,2,2,15,13,0,0,0,0,0
Strasbourg,Lorient,1,1,20,6,0,1,0,0,0
Monaco,Marseille,2,3,11,11,1,1,0,0,0
Lens,Clermont,2,1,16,5,0,1,0,0,0
Rennes,Toulouse,2,1,16,10,1,0,0,0,0
Lens,Clermont,2,1,16,5,0,1,0,0,0
Rennes,Toulouse,2,1,16,10,1,0,0,0,0
Lyon,Nice,1,1,9,13,0,1,0,0,0
Lyon,Nice,1,1,9,13,0,1,0,0,0
Lorient,Paris SG,1,2,9,15,0,1,0,0,0
Clermont,Montpellier,1,1,16,7,0,1,0,0,0
Nice,Brest,1,0,14,12,0,0,0,0,0
Reims,Nantes,1,0,22,15,0,0,0,0,0
Toulouse,Monaco,0,2,13,24,0,0,0,0,0
Lille,Rennes,1,1,19,3,1,0,0,0,0
Marseille,Lyon,1,0,6,11,1,0,0,0,0
Lorient,Paris SG,1,2,9,15,0,1,0,0,0
Clermont,Montpellier,1,1,16,7,0,1,0,0,0
Nice,Brest,1,0,14,12,0,0,0,0,0
Reims,Nantes,1,0,22,15,0,0,0,0,0
Toulouse,Monaco,0,2,13,24,0,0,0,0,0
Lille,Rennes,1,1,19,3,1,0,0,0,0
Marseille,Lyon,1,0,6,11,1,0,0,0,0
Ajaccio,Strasbourg,4,2,12,9,4,2,0,0,0
Angers,Lens,1,2,6,12,0,1,0,0,0
Ajaccio,Strasbourg,4,2,12,9,4,2,0,0,0
Angers,Lens,1,2,6,12,0,1,0,0,0
Troyes,Auxerre,1,1,21,13,1,0,0,0,0
Troyes,Auxerre,1,1,21,13,1,0,0,0,0
Auxerre,Ajaccio,1,0,18,5,1,0,0,0,0
Brest,Reims,0,0,12,11,0,0,0,0,0
Monaco,Angers,2,0,8,8,0,0,0,0,0
Nantes,Clermont,1,1,13,10,0,0,0,0,0
Rennes,Montpellier,3,0,14,8,2,0,0,0,0
Lorient,Nice,1,2,14,16,1,0,0,0,0
Lyon,Lille,1,0,6,15,0,0,0,0,0
Auxerre,Ajaccio,1,0,18,5,1,0,0,0,0
Brest,Reims,0,0,12,11,0,0,0,0,0
Monaco,Angers,2,0,8,8,0,0,0,0,0
Nantes,Clermont,1,1,13,10,0,0,0,0,0
Rennes,Montpellier,3,0,14,8,2,0,0,0,0
Lorient,Nice,1,2,14,16,1,0,0,0,0
Lyon,Lille,1,0,6,15,0,0,0,0,0
Paris SG,Troyes,4,3,19,16,1,1,0,0,0
Strasbourg,Marseille,2,2,12,13,0,2,0,0,0
Paris SG,Troyes,4,3,19,16,1,1,0,0,0
Strasbourg,Marseille,2,2,12,13,0,2,0,0,0
Lens,Toulouse,3,0,13,9,0,0,0,0,0
Lens,Toulouse,3,0,13,9,0,0,0,0,0
Angers,Rennes,1,2,7,14,0,1,0,0,0
Clermont,Brest,1,3,14,19,0,1,0,0,0
Reims,Auxerre,2,1,19,10,1,1,0,0,0
Toulouse,Strasbourg,2,2,17,11,1,0,0,0,0
Troyes,Lorient,2,2,13,21,1,0,0,0,0
Nice,Nantes,1,1,11,11,0,0,0,0,0
Lille,Monaco,4,3,20,9,2,2,0,0,0
Angers,Rennes,1,2,7,14,0,1,0,0,0
Clermont,Brest,1,3,14,19,0,1,0,0,0
Reims,Auxerre,2,1,19,10,1,1,0,0,0
Toulouse,Strasbourg,2,2,17,11,1,0,0,0,0
Troyes,Lorient,2,2,13,21,1,0,0,0,0
Nice,Nantes,1,1,11,11,0,0,0,0,0
Lille,Monaco,4,3,20,9,2,2,0,0,0
Montpellier,Lyon,1,2,10,21,0,1,0,0,0
Marseille,Lens,0,1,13,12,0,0,0,0,0
Montpellier,Lyon,1,2,10,21,0,1,0,0,0
Marseille,Lens,0,1,13,12,0,0,0,0,0
Ajaccio,Paris SG,0,3,8,11,0,1,0,0,0
Ajaccio,Paris SG,0,3,8,11,0,1,0,0,0
Toulouse,Angers,3,2,14,13,2,1,0,0,0
Auxerre,Nice,1,1,11,9,1,1,0,0,0
Nantes,Brest,4,1,17,11,2,1,0,0,0
Rennes,Lyon,3,2,14,7,1,1,0,0,0
Troyes,Ajaccio,1,1,9,15,0,0,0,0,0
Monaco,Clermont,1,1,6,21,1,0,0,0,0
Paris SG,Marseille,1,0,23,18,1,0,0,0,0
Toulouse,Angers,3,2,14,13,2,1,0,0,0
Auxerre,Nice,1,1,11,9,1,1,0,0,0
Nantes,Brest,4,1,17,11,2,1,0,0,0
Rennes,Lyon,3,2,14,7,1,1,0,0,0
Troyes,Ajaccio,1,1,9,15,0,0,0,0,0
Monaco,Clermont,1,1,6,21,1,0,0,0,0
Paris SG,Marseille,1,0,23,18,1,0,0,0,0
Lorient,Reims,0,0,10,7,0,0,0,0,0
Lens,Montpellier,1,0,17,8,0,0,0,0,0
Lorient,Reims,0,0,10,7,0,0,0,0,0
Lens,Montpellier,1,0,17,8,0,0,0,0,0
Strasbourg,Lille,0,3,12,10,0,1,0,0,0
Strasbourg,Lille,0,3,12,10,0,1,0,0,0
Montpellier,Monaco,0,2,11,11,0,1,0,0,0
Angers,Strasbourg,2,3,14,15,1,2,0,0,0
Brest,Lorient,1,2,12,14,1,1,0,0,0
Clermont,Auxerre,2,1,10,14,0,0,0,0,0
Nice,Troyes,3,2,14,17,2,0,0,0,0
Rennes,Nantes,3,0,14,8,1,0,0,0,0
Lille,Lens,1,0,12,10,1,0,0,0,0
Montpellier,Monaco,0,2,11,11,0,1,0,0,0
Angers,Strasbourg,2,3,14,15,1,2,0,0,0
Brest,Lorient,1,2,12,14,1,1,0,0,0
Clermont,Auxerre,2,1,10,14,0,0,0,0,0
Nice,Troyes,3,2,14,17,2,0,0,0,0
Rennes,Nantes,3,0,14,8,1,0,0,0,0
Lille,Lens,1,0,12,10,1,0,0,0,0
Marseille,Ajaccio,1,2,10,6,1,1,0,0,0
Reims,Paris SG,0,0,24,11,0,0,0,0,0
Marseille,Ajaccio,1,2,10,6,1,1,0,0,0
Reims,Paris SG,0,0,24,11,0,0,0,0,0
Lyon,Toulouse,1,1,19,5,1,0,0,0,0
Lyon,Toulouse,1,1,19,5,1,0,0,0,0
Lorient,Lille,2,1,7,20,1,0,0,0,0
Ajaccio,Clermont,1,3,12,7,0,1,0,0,0
Auxerre,Brest,1,1,11,9,0,0,0,0,0
Toulouse,Montpellier,4,2,12,23,3,1,0,0,0
Troyes,Reims,2,2,19,5,0,1,0,0,0
Monaco,Nantes,4,1,10,7,3,0,0,0,0
Lens,Lyon,1,0,21,4,0,0,0,0,0
Lorient,Lille,2,1,7,20,1,0,0,0,0
Ajaccio,Clermont,1,3,12,7,0,1,0,0,0
Auxerre,Brest,1,1,11,9,0,0,0,0,0
Toulouse,Montpellier,4,2,12,23,3,1,0,0,0
Troyes,Reims,2,2,19,5,0,1,0,0,0
Monaco,Nantes,4,1,10,7,3,0,0,0,0
Lens,Lyon,1,0,21,4,0,0,0,0,0
Strasbourg,Rennes,1,3,9,17,0,1,0,0,0
Paris SG,Nice,2,1,12,4,1,0,0,0,0
Strasbourg,Rennes,1,3,9,17,0,1,0,0,0
Paris SG,Nice,2,1,12,4,1,0,0,0,0
Angers,Marseille,0,3,16,15,0,1,0,0,0
Angers,Marseille,0,3,16,15,0,1,0,0,0
Reims,Monaco,0,3,9,20,0,0,0,0,0
Brest,Ajaccio,0,1,8,6,0,0,0,0,0
Clermont,Troyes,1,3,14,9,1,1,0,0,0
Marseille,Rennes,1,1,15,12,0,1,0,0,0
Nice,Angers,0,1,18,16,0,1,0,0,0
Nantes,Lens,0,0,12,8,0,0,0,0,0
Lyon,Paris SG,0,1,12,15,0,1,0,0,0
Reims,Monaco,0,3,9,20,0,0,0,0,0
Brest,Ajaccio,0,1,8,6,0,0,0,0,0
Clermont,Troyes,1,3,14,9,1,1,0,0,0
Marseille,Rennes,1,1,15,12,0,1,0,0,0
Nice,Angers,0,1,18,16,0,1,0,0,0
Nantes,Lens,0,0,12,8,0,0,0,0,0
Lyon,Paris SG,0,1,12,15,0,1,0,0,0
Montpellier,Strasbourg,2,1,10,8,1,0,0,0,0
Lille,Toulouse,2,1,10,14,1,0,0,0,0
Montpellier,Strasbourg,2,1,10,8,1,0,0,0,0
Lille,Toulouse,2,1,10,14,1,0,0,0,0
Auxerre,Lorient,1,3,17,12,0,3,0,0,0
Auxerre,Lorient,1,3,17,12,0,3,0,0,0
Strasbourg,Clermont,0,0,12,10,0,0,0,0,0
Ajaccio,Nice,0,1,9,12,0,0,0,0,0
Angers,Montpellier,2,1,11,7,1,1,0,0,0
Lorient,Nantes,3,2,13,9,1,1,0,0,0
Toulouse,Reims,1,0,14,11,1,0,0,0,0
Rennes,Auxerre,5,0,12,7,1,0,0,0,0
Monaco,Lyon,2,1,11,20,0,0,0,0,0
Strasbourg,Clermont,0,0,12,10,0,0,0,0,0
Ajaccio,Nice,0,1,9,12,0,0,0,0,0
Angers,Montpellier,2,1,11,7,1,1,0,0,0
Lorient,Nantes,3,2,13,9,1,1,0,0,0
Toulouse,Reims,1,0,14,11,1,0,0,0,0
Rennes,Auxerre,5,0,12,7,1,0,0,0,0
Monaco,Lyon,2,1,11,20,0,0,0,0,0
Paris SG,Brest,1,0,13,6,1,0,0,0,0
Marseille,Lille,2,1,14,7,1,1,0,0,0
Paris SG,Brest,1,0,13,6,1,0,0,0,0
Marseille,Lille,2,1,14,7,1,1,0,0,0
Lens,Troyes,1,0,12,7,1,0,0,0,0
Lens,Troyes,1,0,12,7,1,0,0,0,0
Lorient,Lyon,3,1,11,15,2,1,0,0,0
Lorient,Lyon,3,1,11,15,2,1,0,0,0
Montpellier,Lille,1,3,4,26,1,1,0,0,0
Ajaccio,Lorient,0,1,16,7,0,0,0,0,0
Brest,Strasbourg,1,1,11,10,1,1,0,0,0
Clermont,Toulouse,2,0,12,14,0,0,0,0,0
Reims,Lens,1,1,17,20,0,0,0,0,0
Troyes,Rennes,1,1,9,19,1,0,0,0,0
Nice,Monaco,0,1,12,14,0,0,0,0,0
Montpellier,Lille,1,3,4,26,1,1,0,0,0
Ajaccio,Lorient,0,1,16,7,0,0,0,0,0
Brest,Strasbourg,1,1,11,10,1,1,0,0,0
Clermont,Toulouse,2,0,12,14,0,0,0,0,0
Reims,Lens,1,1,17,20,0,0,0,0,0
Troyes,Rennes,1,1,9,19,1,0,0,0,0
Nice,Monaco,0,1,12,14,0,0,0,0,0
Auxerre,Marseille,0,2,8,15,0,1,0,0,0
Lyon,Angers,5,0,16,8,2,0,0,0,0
Nantes,Paris SG,0,3,10,19,0,1,0,0,0
Auxerre,Marseille,0,2,8,15,0,1,0,0,0
Lyon,Angers,5,0,16,8,2,0,0,0,0
Nantes,Paris SG,0,3,10,19,0,1,0,0,0
Angers,Reims,2,4,10,11,0,2,0,0,0
Lyon,Auxerre,2,1,20,6,1,0,0,0,0
Monaco,Troyes,2,4,8,19,1,2,0,0,0
Montpellier,Ajaccio,2,0,9,15,1,0,0,0,0
Strasbourg,Nantes,1,1,5,12,1,0,0,0,0
Lens,Lorient,5,2,15,10,2,1,0,0,0
Lille,Nice,1,2,18,3,1,2,0,0,0
Marseille,Clermont,1,0,21,3,0,0,0,0,0
Rennes,Brest,3,1,16,7,0,0,0,0,0
Toulouse,Paris SG,0,3,14,20,0,1,0,0,0
