HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Bologna,Cremonese,1,1,21,9,0,0,0,0,0
Inter,Empoli,0,1,16,13,0,0,0,0,0
Sampdoria,Udinese,0,1,9,14,0,0,0,0,0
Monza,Sassuolo,1,1,14,13,0,1,0,0,0
Spezia,Roma,0,2,8,13,0,1,0,0,0
Juventus,Atalanta,3,3,15,14,2,1,0,0,0
Verona,Lecce,2,0,11,9,1,0,0,0,0
Salernitana,Napoli,0,2,5,9,0,1,0,0,0
Fiorentina,Torino,0,1,19,9,0,1,0,0,0
Empoli,Sampdoria,1,0,16,16,0,0,0,0,0
Sassuolo,Lazio,0,2,12,12,0,1,0,0,0
Torino,Spezia,0,1,11,13,0,1,0,0,0
Udinese,Bologna,1,2,20,15,1,0,0,0,0
Atalanta,Salernitana,8,2,19,7,5,1,0,0,0
Roma,Fiorentina,2,0,10,7,1,0,0,0,0
Cremonese,Monza,2,3,11,8,0,2,0,0,0
Lecce,Milan,2,2,17,12,2,0,0,0,0
Inter,Verona,1,0,11,6,1,0,0,0,0
Napoli,Juventus,5,1,14,11,2,1,0,0,0
Verona,Cremonese,2,0,9,15,2,0,0,0,0
Bologna,Atalanta,1,2,12,7,1,0,0,0,0
Salernitana,Torino,1,1,11,23,0,1,0,0,0
Lazio,Empoli,2,2,18,5,1,0,0,0,0
Spezia,Lecce,0,0,10,15,0,0,0,0,0
Sampdoria,Napoli,0,2,9,24,0,1,0,0,0
Milan,Roma,2,2,12,12,1,0,0,0,0
Fiorentina,Sassuolo,2,1,14,17,0,0,0,0,0
Juventus,Udinese,1,0,14,11,0,0,0,0,0
Monza,Inter,2,2,13,11,1,2,0,0,0
Salernitana,Milan,1,2,8,16,0,2,0,0,0
Sassuolo,Sampdoria,1,2,16,9,0,2,0,0,0
Spezia,Atalanta,2,2,7,19,2,0,0,0,0
Torino,Verona,1,1,9,10,0,1,0,0,0
Lecce,Lazio,2,1,11,8,0,1,0,0,0
Roma,Bologna,1,0,14,10,1,0,0,0,0
Cremonese,Juventus,0,1,13,19,0,0,0,0,0
Fiorentina,Monza,1,1,22,10,1,0,0,0,0
Inter,Napoli,1,0,6,9,0,0,0,0,0
Udinese,Empoli,1,1,21,6,0,1,0,0,0
Atalanta,Inter,2,3,19,14,1,1,0,0,0
Monza,Salernitana,3,0,19,5,2,0,0,0,0
Roma,Torino,1,1,13,10,0,0,0,0,0
Verona,Spezia,1,2,18,16,1,0,0,0,0
Milan,Fiorentina,2,1,12,11,1,1,0,0,0
Juventus,Lazio,3,0,13,10,1,0,0,0,0
Napoli,Udinese,3,2,15,10,2,0,0,0,0
Sampdoria,Lecce,0,2,11,11,0,1,0,0,0
Bologna,Sassuolo,3,0,8,9,1,0,0,0,0
Empoli,Cremonese,2,0,13,19,0,0,0,0,0
Verona,Juventus,0,1,15,11,0,0,0,0,0
Lazio,Monza,1,0,12,8,0,0,0,0,0
Lecce,Atalanta,2,1,15,12,2,1,0,0,0
Sassuolo,Roma,1,1,14,10,0,0,0,0,0
Fiorentina,Salernitana,2,1,18,4,1,0,0,0,0
Inter,Bologna,6,1,13,10,3,1,0,0,0
Torino,Sampdoria,2,0,8,11,1,0,0,0,0
Napoli,Empoli,2,0,18,6,0,0,0,0,0
Spezia,Udinese,1,1,21,10,1,1,0,0,0
Cremonese,Milan,0,0,6,16,0,0,0,0,0
Bologna,Torino,2,1,9,7,0,1,0,0,0
Monza,Verona,2,0,14,7,0,0,0,0,0
Sampdoria,Fiorentina,0,2,14,5,0,1,0,0,0
Roma,Lazio,0,1,8,5,0,1,0,0,0
Juventus,Inter,2,0,8,14,0,0,0,0,0
Empoli,Sassuolo,1,0,17,10,0,0,0,0,0
Salernitana,Cremonese,2,2,11,11,2,1,0,0,0
Atalanta,Napoli,1,2,17,7,1,2,0,0,0
Milan,Spezia,2,1,23,13,1,0,0,0,0
Udinese,Lecce,1,1,16,9,0,1,0,0,0
Verona,Roma,1,3,7,14,1,1,0,0,0
Monza,Bologna,1,2,9,10,0,0,0,0,0
