HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Valencia,Almeria,2,2,16,14,0,0,0,0,0
Villarreal,Girona,1,0,19,8,0,0,0,0,0
Elche,Osasuna,1,1,13,8,0,1,0,0,0
Barcelona,Getafe,1,0,8,7,1,0,0,0,0
Ath Bilbao,Real Madrid,0,2,18,10,0,1,0,0,0
Vallecano,Sociedad,0,2,14,12,0,2,0,0,0
Espanol,Betis,1,0,8,13,1,0,0,0,0
Ath Madrid,Valladolid,3,0,18,7,3,0,0,0,0
Sevilla,Cadiz,1,0,17,4,0,0,0,0,0
Mallorca,Celta,1,0,8,10,0,0,0,0,0
Cadiz,Elche,1,1,16,12,1,0,0,0,0
Getafe,Espanol,1,2,10,10,1,1,0,0,0
Almeria,Ath Madrid,1,1,14,12,1,1,0,0,0
Valladolid,Vallecano,0,1,9,13,0,0,0,0,0
Girona,Sevilla,2,1,19,10,0,1,0,0,0
Osasuna,Mallorca,1,0,15,6,0,0,0,0,0
Sociedad,Ath Bilbao,3,1,11,6,2,1,0,0,0
Celta,Villarreal,1,1,21,3,0,1,0,0,0
Ath Bilbao,Osasuna,0,0,17,3,0,0,0,0,0
Almeria,Sociedad,0,2,6,9,0,0,0,0,0
Vallecano,Betis,1,2,15,14,1,2,0,0,0
Sevilla,Getafe,2,1,11,11,1,0,0,0,0
Ath Madrid,Barcelona,0,1,20,10,0,1,0,0,0
Villarreal,Real Madrid,2,1,17,13,0,0,0,0,0
Mallorca,Valladolid,1,0,13,9,0,0,0,0,0
Espanol,Girona,2,2,12,12,0,1,0,0,0
Elche,Celta,0,1,13,14,0,1,0,0,0
Valencia,Cadiz,0,1,11,6,0,1,0,0,0
Barcelona,Espanol,1,1,21,4,1,0,0,0,0
Sociedad,Osasuna,2,0,9,11,1,0,0,0,0
Villarreal,Valencia,2,1,14,13,1,1,0,0,0
Getafe,Mallorca,2,0,14,3,0,0,0,0,0
Cadiz,Almeria,1,1,12,18,0,1,0,0,0
Celta,Sevilla,1,1,17,7,1,0,0,0,0
Valladolid,Real Madrid,0,2,14,19,0,0,0,0,0
