League,Date,HomeTeam,AwayTeam,FullTimeGoal,HalfTimeGoal
D1,05/08/2022,Ein Frankfurt,Bayern Munich,7,5
D1,06/08/2022,Augsburg,Freiburg,4,0
D1,06/08/2022,Bochum,Mainz,3,2
D1,06/08/2022,M'gladbach,Hoffenheim,4,2
D1,06/08/2022,Union Berlin,Hertha,4,1
D1,06/08/2022,Wolfsburg,Werder Bremen,4,3
D1,06/08/2022,Dortmund,Leverkusen,1,1
D1,07/08/2022,Stuttgart,RB Leipzig,2,2
D1,07/08/2022,FC Koln,Schalke 04,4,0
D1,12/08/2022,Freiburg,Dortmund,4,1
D1,13/08/2022,Hertha,Ein Frankfurt,2,1
D1,13/08/2022,Hoffenheim,Bochum,5,4
D1,13/08/2022,Leverkusen,Augsburg,3,2
D1,13/08/2022,RB Leipzig,FC Koln,4,2
D1,13/08/2022,Werder Bremen,Stuttgart,4,2
D1,13/08/2022,Schalke 04,M'gladbach,4,1
D1,14/08/2022,Mainz,Union Berlin,0,0
D1,14/08/2022,Bayern Munich,Wolfsburg,2,2
D1,19/08/2022,M'gladbach,Hertha,1,1
D1,20/08/2022,Augsburg,Mainz,3,2
D1,20/08/2022,Dortmund,Werder Bremen,5,1
D1,20/08/2022,Leverkusen,Hoffenheim,3,2
D1,20/08/2022,Stuttgart,Freiburg,1,1
D1,20/08/2022,Wolfsburg,Schalke 04,0,0
D1,20/08/2022,Union Berlin,RB Leipzig,3,2
D1,21/08/2022,Ein Frankfurt,FC Koln,2,0
D1,21/08/2022,Bochum,Bayern Munich,7,4
D1,26/08/2022,Freiburg,Bochum,1,0
D1,27/08/2022,Hertha,Dortmund,1,1
D1,27/08/2022,Hoffenheim,Augsburg,1,1
D1,27/08/2022,Mainz,Leverkusen,3,3
D1,27/08/2022,RB Leipzig,Wolfsburg,2,1
D1,27/08/2022,Schalke 04,Union Berlin,7,4
D1,27/08/2022,Bayern Munich,M'gladbach,2,1
D1,28/08/2022,FC Koln,Stuttgart,0,0
D1,28/08/2022,Werder Bremen,Ein Frankfurt,7,5
D1,02/09/2022,Dortmund,Hoffenheim,1,1
D1,03/09/2022,Bochum,Werder Bremen,2,0
D1,03/09/2022,Leverkusen,Freiburg,5,1
D1,03/09/2022,Stuttgart,Schalke 04,2,2
D1,03/09/2022,Union Berlin,Bayern Munich,2,2
D1,03/09/2022,Wolfsburg,FC Koln,6,4
D1,03/09/2022,Ein Frankfurt,RB Leipzig,4,2
D1,04/09/2022,Augsburg,Hertha,2,0
D1,04/09/2022,M'gladbach,Mainz,1,0
D1,09/09/2022,Werder Bremen,Augsburg,1,0
D1,10/09/2022,Bayern Munich,Stuttgart,4,1
D1,10/09/2022,Ein Frankfurt,Wolfsburg,1,0
D1,10/09/2022,Hertha,Leverkusen,4,0
D1,10/09/2022,Hoffenheim,Mainz,5,0
D1,10/09/2022,RB Leipzig,Dortmund,3,2
D1,10/09/2022,Schalke 04,Bochum,4,1
D1,11/09/2022,FC Koln,Union Berlin,1,1
D1,11/09/2022,Freiburg,M'gladbach,0,0
D1,16/09/2022,Mainz,Hertha,2,1
D1,17/09/2022,Augsburg,Bayern Munich,1,0
D1,17/09/2022,Dortmund,Schalke 04,1,0
D1,17/09/2022,Leverkusen,Werder Bremen,2,0
D1,17/09/2022,Stuttgart,Ein Frankfurt,4,1
D1,17/09/2022,M'gladbach,RB Leipzig,3,2
D1,18/09/2022,Union Berlin,Wolfsburg,2,0
D1,18/09/2022,Bochum,FC Koln,2,1
D1,18/09/2022,Hoffenheim,Freiburg,0,0
D1,30/09/2022,Bayern Munich,Leverkusen,4,3
D1,01/10/2022,Ein Frankfurt,Union Berlin,2,2
D1,01/10/2022,FC Koln,Dortmund,5,1
D1,01/10/2022,Freiburg,Mainz,3,2
D1,01/10/2022,RB Leipzig,Bochum,4,2
D1,01/10/2022,Wolfsburg,Stuttgart,5,4
D1,01/10/2022,Werder Bremen,M'gladbach,6,4
D1,02/10/2022,Hertha,Hoffenheim,2,2
D1,02/10/2022,Schalke 04,Augsburg,5,3
D1,07/10/2022,Hoffenheim,Werder Bremen,3,2
D1,08/10/2022,Augsburg,Wolfsburg,2,1
D1,08/10/2022,Bochum,Ein Frankfurt,3,0
D1,08/10/2022,Leverkusen,Schalke 04,4,2
D1,08/10/2022,Mainz,RB Leipzig,2,1
D1,08/10/2022,Dortmund,Bayern Munich,4,1
D1,09/10/2022,M'gladbach,FC Koln,7,3
D1,09/10/2022,Hertha,Freiburg,4,2
D1,09/10/2022,Stuttgart,Union Berlin,1,0
D1,14/10/2022,Schalke 04,Hoffenheim,3,2
D1,15/10/2022,Ein Frankfurt,Leverkusen,6,1
D1,15/10/2022,Stuttgart,Bochum,5,3
D1,15/10/2022,Werder Bremen,Mainz,2,1
D1,15/10/2022,Wolfsburg,M'gladbach,4,2
D1,15/10/2022,RB Leipzig,Hertha,5,3
D1,16/10/2022,FC Koln,Augsburg,5,1
D1,16/10/2022,Union Berlin,Dortmund,2,2
D1,16/10/2022,Bayern Munich,Freiburg,5,2
D1,21/10/2022,Mainz,FC Koln,5,3
D1,22/10/2022,Augsburg,RB Leipzig,6,1
