HomeTeam,FTHG,FTAG,HTHG,HTAG
Nott'm Forest,1,0,1,0
Sunderland,1,1,1,1
Aston Villa,1,1,1,0
Bristol City,3,1,3,0
Burton,0,1,0,0
Fulham,1,1,1,0
Ipswich,1,0,0,0
Preston,1,0,0,0
QPR,2,0,1,0
Sheffield United,1,0,1,0
Wolves,1,0,1,0
Bolton,2,3,1,3
Barnsley,1,2,1,0
Birmingham,2,1,1,1
Brentford,3,4,1,2
Cardiff,3,0,1,0
Derby,0,2,0,1
Hull,4,1,1,1
Leeds,0,0,0,0
Middlesbrough,1,0,1,0
Millwall,1,1,0,0
Reading,1,1,0,0
Sheffield Weds,1,1,0,1
Norwich,1,3,0,1
Barnsley,2,1,1,1
Birmingham,0,0,0,0
Brentford,2,2,0,1
Cardiff,2,0,1,0
Derby,1,0,0,0
Hull,2,3,1,2
Leeds,0,0,0,0
Middlesbrough,2,0,1,0
Millwall,3,4,2,3
Reading,2,1,0,0
Norwich,2,0,0,0
Sheffield Weds,1,1,0,1
Burton,2,1,0,1
Aston Villa,4,2,2,0
Bolton,1,2,0,2
Bristol City,0,0,0,0
Fulham,0,1,0,0
Ipswich,2,0,1,0
Nott'm Forest,2,1,1,0
Preston,1,0,1,0
QPR,2,1,0,1
Sheffield United,1,0,1,0
Sunderland,0,2,0,1
Wolves,1,2,0,0
Bristol City,1,1,0,0
Hull,4,0,3,0
Barnsley,3,0,2,0
Birmingham,0,2,0,0
Brentford,0,0,0,0
Burton,1,1,0,1
Cardiff,2,1,2,1
Ipswich,0,2,0,1
Middlesbrough,0,0,0,0
Millwall,4,0,3,0
Nott'm Forest,0,2,0,1
Sheffield United,3,1,2,0
Derby,5,0,4,0
Aston Villa,0,0,0,0
Bolton,0,3,0,1
Fulham,1,1,0,0
Leeds,5,0,3,0
Norwich,1,0,1,0
Preston,1,1,1,1
QPR,2,1,1,0
Reading,0,1,0,0
Sheffield Weds,3,1,1,1
Sunderland,1,2,0,1
Wolves,1,0,1,0
Aston Villa,0,0,0,0
Bolton,0,1,0,1
Leeds,2,0,1,0
Norwich,0,0,0,0
Preston,3,0,1,0
QPR,2,2,0,1
Sheffield Weds,2,1,1,1
Sunderland,0,1,0,0
Wolves,3,3,1,1
Fulham,2,1,1,0
Barnsley,0,3,0,2
Birmingham,1,3,1,0
Brentford,1,1,1,0
Bristol City,4,1,0,1
Burton,2,1,1,1
Cardiff,1,1,0,1
Hull,1,1,0,1
Ipswich,2,0,0,0
Middlesbrough,3,2,1,1
Millwall,1,0,0,0
Nott'm Forest,1,2,0,0
Sheffield United,0,1,0,1
Aston Villa,2,1,1,0
Bolton,0,3,0,1
Derby,1,1,0,0
Fulham,1,1,0,0
Leeds,3,2,2,1
Norwich,0,0,0,0
Preston,0,0,0,0
QPR,0,0,0,0
Reading,1,1,0,1
Sunderland,1,2,0,1
Wolves,2,1,0,0
Sheffield Weds,2,4,1,2
Barnsley,1,1,1,0
Brentford,1,1,0,1
Bristol City,2,0,1,0
Burton,0,4,0,3
Cardiff,3,1,2,0
Hull,1,2,0,1
Ipswich,5,2,2,1
Middlesbrough,0,1,0,1
Millwall,2,1,0,0
Nott'm Forest,1,3,1,1
Birmingham,1,0,0,0
Sheffield United,2,0,1,0
QPR,1,2,0,1
Aston Villa,1,0,1,0
Burton,0,4,0,3
Cardiff,0,0,0,0
Hull,6,1,3,0
Ipswich,1,3,1,2
Middlesbrough,2,2,0,1
Millwall,1,3,1,1
Nott'm Forest,2,1,2,1
Preston,2,2,0,1
Reading,1,2,1,1
Sheffield Weds,3,0,2,0
Birmingham,1,0,1,0
Bristol City,0,0,0,0
Barnsley,2,2,2,1
Bolton,2,1,1,0
Brentford,1,0,0,0
Fulham,2,2,0,2
Leeds,0,1,0,0
Norwich,1,1,0,1
