Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D2,28/07/2023,19:30,Hamburg,Schalke 04,5,3,H,1,2,A,31,11,14,6,10,13,9,3,3,3,0,1,2.38,3.75,2.7,2.37,3.6,2.75,2.4,3.6,2.75,2.43,3.81,2.83,2.15,3.4,2.75,2.38,3.6,2.7,2.46,3.81,2.95,2.35,3.64,2.76,1.5,2.5,1.53,2.63,1.56,2.66,1.51,2.5,-0.25,2.05,1.75,2.11,1.8,2.16,1.84,2.04,1.78,2.38,3.8,2.63,2.37,3.7,2.7,2.5,3.5,2.7,2.47,3.77,2.8,2.25,3.4,2.6,2.3,3.8,2.63,2.5,3.84,2.84,2.38,3.67,2.69,1.48,2.6,1.51,2.66,1.51,2.88,1.47,2.62,-0.25,2.05,1.75,2.14,1.78,2.14,1.82,2.07,1.75
D2,29/07/2023,12:00,Hannover,Elversberg,2,2,D,1,2,A,10,23,4,9,5,18,3,6,3,4,0,0,2.1,3.6,3.3,2.15,3.75,3.1,2.15,3.7,3.1,2.12,3.88,3.34,2,3.5,2.9,2.05,3.6,3.2,2.21,3.88,3.36,2.09,3.69,3.17,1.62,2.25,1.66,2.31,1.69,2.32,1.64,2.23,-0.25,1.83,2.03,1.86,2.06,1.91,2.06,1.82,1.98,1.95,3.75,3.6,2,3.75,3.4,2,3.7,3.45,1.96,4.09,3.65,1.91,3.6,3.1,1.95,3.9,3.3,2.19,4.09,3.83,2,3.79,3.35,1.53,2.4,1.58,2.5,1.63,2.53,1.56,2.39,-0.5,1.95,1.9,1.96,1.94,2.09,1.95,2,1.82
D2,29/07/2023,12:00,Kaiserslautern,St Pauli,1,2,A,0,0,D,10,14,3,5,11,10,3,5,2,1,0,0,3.1,3.5,2.25,3,3.5,2.25,3,3.45,2.3,3.19,3.5,2.33,3,3.25,2.05,3,3.5,2.2,3.25,3.56,2.33,3.05,3.46,2.23,1.83,2.03,1.83,2.05,1.87,2.14,1.78,2.01,0.25,1.85,2,1.9,2.01,1.96,2.04,1.86,1.93,3.1,3.1,2.45,3.1,3.1,2.4,2.95,3.15,2.5,3.27,3.12,2.5,2.88,3,2.25,3,3.13,2.38,3.29,3.43,2.5,3.05,3.14,2.41,2.35,1.57,2.42,1.61,2.47,2,2.23,1.66,0.25,1.8,2.05,1.81,2.11,1.86,2.13,1.77,2.05
D2,29/07/2023,12:00,Osnabruck,Karlsruhe,2,3,A,1,2,A,18,14,7,8,11,9,4,9,3,2,1,0,2.8,3.75,2.3,2.8,3.7,2.3,2.85,3.65,2.3,2.94,3.75,2.38,2.6,3.3,2.3,2.75,3.6,2.3,2.94,3.75,2.43,2.79,3.6,2.32,1.6,2.3,1.65,2.34,1.65,2.41,1.6,2.28,0.25,1.83,2.03,1.85,2.07,1.85,2.13,1.78,2.02,3.1,3.8,2.15,3.1,3.7,2.15,3.05,3.65,2.2,3.19,3.84,2.2,2.9,3.4,2.05,3,3.7,2.1,3.28,3.84,2.32,3.03,3.66,2.18,1.57,2.35,1.62,2.41,1.63,2.47,1.58,2.33,0.25,1.95,1.9,1.98,1.93,2.03,2.01,1.9,1.9
D2,29/07/2023,12:00,Wehen,Magdeburg,1,1,D,0,1,A,9,11,1,3,10,18,3,2,2,3,1,0,2.88,3.75,2.25,2.8,3.6,2.35,2.9,3.6,2.3,2.91,3.8,2.37,2.75,3.4,2.15,2.75,3.6,2.3,2.95,3.8,2.38,2.82,3.62,2.3,1.62,2.25,1.66,2.32,1.67,2.32,1.63,2.24,0.25,1.8,2.05,1.85,2.07,1.85,2.12,1.8,2.01,3,3.6,2.2,2.95,3.7,2.25,3,3.65,2.2,3.09,3.75,2.28,2.88,3.5,2.05,2.9,3.75,2.15,3.22,3.8,2.37,2.95,3.63,2.23,1.6,2.3,1.65,2.3,1.68,2.36,1.63,2.25,0.25,1.9,1.95,1.92,1.99,1.95,2.03,1.86,1.94
D2,29/07/2023,19:30,Fortuna Dusseldorf,Hertha,1,0,H,0,0,D,9,12,2,4,13,11,7,8,3,2,0,0,2.3,3.6,2.88,2.35,3.6,2.8,2.35,3.55,2.85,2.32,3.59,3.13,2.3,3.25,2.6,2.3,3.5,2.8,2.43,3.66,3.13,2.3,3.5,2.89,1.7,2.1,1.76,2.16,1.79,2.22,1.7,2.12,-0.25,2.03,1.83,2.01,1.89,2.11,1.89,1.99,1.81,2.05,3.6,3.25,2.15,3.6,3.1,2.2,3.6,3.05,2.15,3.74,3.39,2,3.4,3,2.05,3.7,3.13,2.2,3.74,3.47,2.09,3.6,3.26,1.7,2.1,1.74,2.18,1.77,2.25,1.7,2.14,-0.25,1.83,2.03,1.87,2.04,1.89,2.08,1.82,2
D2,30/07/2023,12:30,Braunschweig,Holstein Kiel,0,1,A,0,0,D,9,15,2,4,10,13,4,10,3,1,1,0,2.55,3.8,2.5,2.5,3.6,2.6,2.55,3.65,2.55,2.66,3.83,2.56,2.38,3.4,2.45,2.55,3.6,2.5,2.66,3.83,2.65,2.56,3.61,2.51,1.53,2.4,1.59,2.47,1.59,2.55,1.54,2.41,0,1.95,1.9,1.99,1.92,1.99,1.98,1.92,1.88,2.3,3.8,2.75,2.45,3.5,2.7,2.45,3.6,2.75,2.35,3.72,2.99,2.25,3.3,2.62,2.3,3.6,2.7,2.66,3.81,3.01,2.4,3.58,2.73,1.65,2.2,1.67,2.31,1.67,2.46,1.61,2.28,0,1.7,2.1,1.74,2.21,1.89,2.25,1.78,2.04
D2,30/07/2023,12:30,Greuther Furth,Paderborn,5,0,H,3,0,H,24,7,11,0,9,5,5,2,1,1,0,1,2.45,3.6,2.75,2.4,3.6,2.7,2.4,3.6,2.75,2.46,3.71,2.85,2.38,3.25,2.5,2.4,3.5,2.7,2.48,3.71,2.87,2.4,3.54,2.73,1.62,2.25,1.65,2.33,1.65,2.33,1.62,2.26,0,1.8,2.05,1.82,2.11,1.84,2.12,1.78,2.04,2.55,3.6,2.63,2.45,3.5,2.7,2.55,3.5,2.65,2.57,3.7,2.71,2.3,3.4,2.5,2.45,3.6,2.55,2.61,3.7,2.74,2.49,3.54,2.63,1.62,2.25,1.68,2.29,1.7,2.41,1.64,2.23,0,1.88,1.98,1.9,2,1.92,2.02,1.85,1.96
D2,30/07/2023,12:30,Hansa Rostock,Nurnberg,2,0,H,1,0,H,14,18,4,7,15,13,6,6,3,4,0,0,2.5,3.25,2.88,2.45,3.3,2.85,2.5,3.3,2.85,2.62,3.23,2.97,2.3,3.1,2.7,2.45,3.25,2.8,2.62,3.3,2.97,2.49,3.2,2.85,2.1,1.7,2.15,1.76,2.16,1.79,2.08,1.73,0,1.8,2.05,1.83,2.09,1.84,2.12,1.77,2.04,2.25,3.25,3.3,2.45,3.1,3,2.45,3.15,3.05,2.35,3.25,3.39,2.3,2.88,2.88,2.5,3.13,2.8,2.66,3.25,3.39,2.41,3.11,3.08,2.25,1.62,2.28,1.68,2.38,1.73,2.26,1.62,-0.25,1.98,1.88,2,1.91,2.17,1.95,2.04,1.79
D2,04/08/2023,17:30,Hertha,Wehen,0,1,A,0,0,D,21,12,8,5,9,9,6,4,2,3,0,0,1.57,4.33,5.25,1.57,4.2,5.5,1.6,4.2,5.25,1.57,4.43,5.89,1.44,4,5,1.53,4.33,5.25,1.6,4.43,6,1.55,4.22,5.51,1.67,2.15,1.7,2.24,1.72,2.3,1.67,2.17,-1,1.93,1.93,1.96,1.94,1.97,1.97,1.92,1.88,1.65,4.33,4.75,1.62,4.1,5,1.67,4,4.8,1.65,4.21,5.3,1.53,3.75,4.8,1.6,4.1,4.8,1.67,4.45,5.6,1.61,4.1,5.04,1.67,2.15,1.68,2.27,1.71,2.28,1.65,2.2,-1,2.05,1.75,2.14,1.78,2.17,1.86,2.04,1.78
D2,04/08/2023,17:30,Paderborn,Osnabruck,1,1,D,0,0,D,15,15,5,5,11,12,7,7,1,0,0,0,1.6,4.2,5.25,1.62,4.2,5,1.7,4,4.5,1.6,4.38,5.68,1.55,3.8,4.6,1.57,4.2,5,1.7,4.45,5.73,1.59,4.17,5.08,1.5,2.5,1.52,2.64,1.54,2.64,1.5,2.51,-1,1.95,1.9,1.98,1.93,2.15,1.93,1.96,1.85,1.7,4.2,4.33,1.68,4.2,4.4,1.75,3.9,4.3,1.72,4.21,4.73,1.6,3.9,4.2,1.67,4.2,4.33,1.75,4.43,5,1.66,4.15,4.51,1.44,2.7,1.45,2.87,1.48,2.89,1.44,2.71,-0.75,1.88,1.98,1.9,2.01,1.91,2.04,1.83,1.99
D2,05/08/2023,12:00,Elversberg,Hansa Rostock,1,2,A,0,0,D,13,17,4,5,12,15,7,2,3,4,0,0,2.15,3.5,3.25,2.15,3.6,3.1,2.25,3.5,3.05,2.15,3.72,3.4,2,3.5,3,2.05,3.7,3.13,2.25,3.73,3.4,2.12,3.58,3.18,1.73,2.08,1.74,2.18,1.76,2.2,1.71,2.11,-0.25,1.85,2,1.87,2.04,1.92,2.06,1.84,1.96,2.05,3.6,3.4,2.05,3.6,3.4,2.1,3.55,3.4,2.08,3.69,3.61,1.91,3.4,3.3,2,3.7,3.3,2.1,3.7,3.7,2.01,3.59,3.45,1.73,2.08,1.79,2.11,1.85,2.14,1.74,2.06,-0.5,2.05,1.8,2.08,1.84,2.1,1.87,2.02,1.79
D2,05/08/2023,12:00,Holstein Kiel,Greuther Furth,2,1,H,0,0,D,9,15,4,2,14,16,8,5,2,2,0,0,2.38,3.8,2.7,2.4,3.6,2.7,2.4,3.7,2.7,2.47,3.85,2.75,2.25,3.5,2.6,2.38,3.75,2.63,2.47,3.85,2.75,2.39,3.65,2.67,1.57,2.35,1.6,2.46,1.6,2.5,1.57,2.35,0,1.8,2.05,1.85,2.07,1.85,2.09,1.8,2.01,2.55,3.8,2.45,2.7,3.7,2.4,2.7,3.7,2.45,2.69,3.88,2.51,2.5,3.4,2.3,2.63,3.8,2.3,2.82,3.9,2.53,2.66,3.69,2.4,1.53,2.4,1.55,2.57,1.57,2.66,1.53,2.45,0,1.98,1.88,2.02,1.88,2.08,1.91,2.01,1.81
D2,05/08/2023,12:00,St Pauli,Fortuna Dusseldorf,0,0,D,0,0,D,13,10,5,3,11,8,4,8,2,1,1,0,1.91,3.75,3.75,1.87,3.75,3.9,1.95,3.6,3.7,1.97,3.73,3.96,1.8,3.5,3.6,1.9,3.7,3.6,1.97,3.85,3.96,1.9,3.65,3.75,1.7,2.1,1.75,2.17,1.75,2.26,1.68,2.15,-0.5,1.9,1.95,1.97,1.93,1.98,2.01,1.9,1.9,1.91,3.6,3.8,1.98,3.5,3.7,2,3.5,3.7,1.96,3.74,3.97,1.85,3.3,3.5,1.9,3.7,3.6,2.1,3.74,3.97,1.95,3.55,3.69,1.83,2.03,1.85,2.05,1.93,2.05,1.81,1.97,-0.5,1.93,1.93,1.96,1.94,2,1.98,1.94,1.88
D2,05/08/2023,19:30,Schalke 04,Kaiserslautern,3,0,H,1,0,H,16,10,8,4,14,12,8,7,1,3,0,2,1.65,4.2,4.75,1.66,4,4.8,1.67,4,4.8,1.69,4.07,5.12,1.6,3.7,4.33,1.62,4.2,4.6,1.7,4.3,5.12,1.65,3.99,4.74,1.6,2.3,1.66,2.32,1.67,2.35,1.62,2.25,-0.75,1.83,2.03,1.88,2.03,1.88,2.09,1.82,1.99,1.91,3.6,3.8,1.93,3.6,3.9,1.85,3.7,4,1.95,3.75,4.14,1.8,3.4,3.6,1.85,3.8,3.7,2,3.81,4.4,1.86,3.64,3.97,1.88,1.98,1.77,2.14,1.91,2.15,1.77,2.02,-0.75,2.15,1.68,2.24,1.78,2.26,1.86,2.08,1.76
D2,06/08/2023,12:30,Karlsruhe,Hamburg,2,2,D,1,0,H,17,13,4,7,6,14,7,3,3,2,0,0,2.8,4,2.2,2.95,3.9,2.15,2.8,3.8,2.3,2.87,4.16,2.28,2.88,3.6,2,2.75,4,2.2,2.95,4.25,2.3,2.83,3.88,2.19,1.4,2.88,1.43,2.96,1.43,3,1.4,2.86,0.25,1.88,1.98,1.89,2.02,1.92,2.02,1.86,1.93,2.45,4,2.5,2.45,3.9,2.55,2.5,3.8,2.55,2.48,4.14,2.62,2.3,3.7,2.38,2.4,4,2.45,2.62,4.2,2.65,2.43,3.93,2.51,1.36,3.1,1.37,3.24,1.38,3.3,1.35,3.11,0,1.85,2,1.9,2.01,2.01,2.05,1.88,1.94
D2,06/08/2023,12:30,Magdeburg,Braunschweig,2,1,H,2,0,H,14,9,5,4,7,20,1,5,1,3,0,0,1.75,4,4.33,1.8,3.8,4.1,1.8,3.9,4.1,1.81,4.06,4.35,1.75,3.5,3.7,1.75,4,4,1.83,4.1,4.58,1.77,3.92,4.09,1.53,2.4,1.58,2.48,1.58,2.5,1.54,2.4,-0.75,2,1.85,2.03,1.88,2.06,1.94,1.96,1.84,1.73,4,4.5,1.71,3.9,4.5,1.7,3.85,4.8,1.78,4.02,4.53,1.65,3.7,4,1.7,4,4.2,1.8,4.1,4.8,1.73,3.92,4.33,1.62,2.25,1.65,2.35,1.66,2.4,1.6,2.28,-0.75,1.98,1.88,2,1.91,2.06,1.97,1.94,1.88
D2,06/08/2023,12:30,Nurnberg,Hannover,2,2,D,0,2,A,8,19,3,6,20,14,5,7,6,2,0,0,2.3,3.6,2.88,2.25,3.6,2.9,2.35,3.5,2.9,2.39,3.64,2.99,2.15,3.4,2.75,2.3,3.6,2.8,2.39,3.7,2.99,2.31,3.5,2.87,1.73,2.08,1.8,2.09,1.8,2.16,1.73,2.07,-0.25,2.03,1.83,2.07,1.85,2.08,1.88,2,1.81,2.38,3.5,2.9,2.37,3.3,2.95,2.4,3.35,2.95,2.48,3.45,2.98,2.3,3.2,2.62,2.38,3.4,2.8,2.51,3.5,3.1,2.38,3.34,2.9,1.98,1.88,1.97,1.92,2.02,1.92,1.92,1.86,-0.25,2.1,1.78,2.14,1.8,2.14,1.82,2.06,1.77
