DateTime,League,GameDay,Home,Away,FullTimeHomeScore,FullTimeAwayScore,HalftimeHomeScore,HalftimeAwayScore,FullTimeResult
02/24/2023 19:30:00,D1,22,Mainz,M'gladbach,,,,,
02/25/2023 14:30:00,D1,22,Werder Bremen,Bochum,,,,,
02/25/2023 14:30:00,D1,22,Hertha,Augsburg,,,,,
02/25/2023 14:30:00,D1,22,Hoffenheim,Dortmund,,,,,
02/25/2023 14:30:00,D1,22,FC Koln,Wolfsburg,,,,,
02/25/2023 14:30:00,D1,22,RB Leipzig,Ein Frankfurt,,,,,
02/25/2023 17:30:00,D1,22,Schalke 04,Stuttgart,,,,,
02/26/2023 14:30:00,D1,22,Freiburg,Leverkusen,,,,,
02/26/2023 16:30:00,D1,22,Bayern Munich,Union Berlin,,,,,
02/24/2023 20:00:00,E0,25,Fulham,Wolves,,,,,
02/25/2023 12:30:00,E0,25,Newcastle,Brighton,,,,,
02/25/2023 15:00:00,E0,25,West Ham,Nott'm Forest,,,,,
02/25/2023 15:00:00,E0,25,Leicester,Arsenal,,,,,
02/25/2023 15:00:00,E0,25,Leeds,Southampton,,,,,
02/25/2023 15:00:00,E0,25,Everton,Aston Villa,,,,,
02/25/2023 17:30:00,E0,25,Bournemouth,Man City,,,,,
02/25/2023 19:45:00,E0,25,Crystal Palace,Liverpool,,,,,
02/26/2023 13:30:00,E0,25,Tottenham,Chelsea,,,,,
04/05/2023 19:00:00,E0,25,Man United,Brentford,,,,,
02/24/2023 20:00:00,SP1,23,Elche,Betis,,,,,
02/25/2023 13:00:00,SP1,23,Espanol,Mallorca,,,,,
02/25/2023 15:15:00,SP1,23,Cadiz,Vallecano,,,,,
02/25/2023 17:30:00,SP1,23,Real Madrid,Ath Madrid,,,,,
02/25/2023 20:00:00,SP1,23,Valencia,Sociedad,,,,,
02/26/2023 13:00:00,SP1,23,Ath Bilbao,Girona,,,,,
02/26/2023 15:15:00,SP1,23,Celta,Valladolid,,,,,
02/26/2023 17:30:00,SP1,23,Almeria,Barcelona,,,,,
02/26/2023 20:00:00,SP1,23,Sevilla,Osasuna,,,,,
02/27/2023 20:00:00,SP1,23,Villarreal,Getafe,,,,,
02/25/2023 17:00:00,I1,24,Empoli,Napoli,,,,,
02/25/2023 19:45:00,I1,24,Lecce,Sassuolo,,,,,
02/26/2023 11:30:00,I1,24,Bologna,Inter,,,,,
02/26/2023 14:00:00,I1,24,Salernitana,Monza,,,,,
02/26/2023 17:00:00,I1,24,Udinese,Spezia,,,,,
02/26/2023 19:45:00,I1,24,Milan,Atalanta,,,,,
02/27/2023 17:30:00,I1,24,Verona,Fiorentina,,,,,
02/27/2023 19:45:00,I1,24,Lazio,Sampdoria,,,,,
02/28/2023 17:30:00,I1,24,Cremonese,Roma,,,,,
02/28/2023 19:45:00,I1,24,Juventus,Torino,,,,,
02/25/2023 12:30:00,E1,34,Coventry,Sunderland,,,,,
02/25/2023 15:00:00,E1,34,Norwich,Cardiff,,,,,
02/25/2023 15:00:00,E1,34,Birmingham,Luton,,,,,
02/25/2023 15:00:00,E1,34,Bristol City,Hull,,,,,
02/25/2023 15:00:00,E1,34,Burnley,Huddersfield,,,,,
02/25/2023 15:00:00,E1,34,West Brom,Middlesbrough,,,,,
02/25/2023 15:00:00,E1,34,Stoke,Millwall,,,,,
02/25/2023 15:00:00,E1,34,Preston,Wigan,,,,,
02/25/2023 15:00:00,E1,34,QPR,Blackburn,,,,,
02/25/2023 15:00:00,E1,34,Reading,Blackpool,,,,,
02/25/2023 15:00:00,E1,34,Sheffield United,Watford,,,,,
02/27/2023 20:00:00,E1,34,Swansea,Rotherham,,,,,
02/24/2023 20:00:00,F1,25,Lille,Brest,,,,,
02/25/2023 16:00:00,F1,25,Angers,Lyon,,,,,
02/25/2023 20:00:00,F1,25,Montpellier,Lens,,,,,
02/26/2023 12:00:00,F1,25,Lorient,Auxerre,,,,,
02/26/2023 14:00:00,F1,25,Clermont,Strasbourg,,,,,
02/26/2023 14:00:00,F1,25,Ajaccio,Troyes,,,,,
02/26/2023 14:00:00,F1,25,Reims,Toulouse,,,,,
02/26/2023 14:00:00,F1,25,Nantes,Rennes,,,,,
02/26/2023 16:05:00,F1,25,Monaco,Nice,,,,,
02/26/2023 19:45:00,F1,25,Marseille,Paris SG,,,,,
